accuracy_ 67042,accuracy_ 67243,accuracy_ 67708,accuracy_ 68851,accuracy_ 68926,accuracy_ 69016,accuracy_ 69100,accuracy_ 69139,accuracy_ 69169,accuracy_ 69241,accuracy_ 69247,accuracy_ 69637,accuracy_ 69670,accuracy_ 69739,accuracy_ 69745,accuracy_ 69859,accuracy_ 70552
11.33333333,17.11111111,49.44444444,17,0.222222222,1.222222222,13,0.222222222,4.555555556,4.777777778,69.88888889,18.22222222,7.777777778,6.222222222,47.55555556,61.66666667,29.77777778
4.888888889,7.444444444,3.333333333,16.44444444,21.44444444,26.11111111,11.77777778,0.333333333,2.888888889,5,50.33333333,6.222222222,3.111111111,12.77777778,9.333333333,9.222222222,6.666666667
34.77777778,20.11111111,18.66666667,11.55555556,6.666666667,16,7.444444444,6.555555556,18.33333333,3.555555556,17.11111111,4.888888889,6.222222222,5.777777778,7.222222222,71.77777778,14.11111111
2,17.33333333,11.88888889,3.444444444,10.88888889,9.777777778,2.888888889,4.888888889,1.666666667,1.444444444,70.77777778,5.777777778,1.555555556,8.888888889,4.666666667,17,10
2.666666667,3.111111111,8.444444444,9.777777778,9.222222222,13.22222222,13.22222222,3,3.444444444,5,19,2.555555556,7,34,24.22222222,3.666666667,9.555555556
2.666666667,31.22222222,8,4.444444444,21.88888889,80.88888889,25.55555556,3,1.666666667,0.111111111,32.11111111,13.55555556,9.333333333,49,5.444444444,81.88888889,4.555555556
5,17.88888889,9.111111111,13.55555556,2.222222222,2.333333333,14.22222222,7.666666667,7.555555556,3.222222222,53.88888889,2,15.33333333,2.555555556,9.222222222,9.888888889,6.333333333
1.666666667,11.44444444,0.666666667,2.888888889,4.333333333,21.66666667,2.333333333,6.888888889,7.777777778,7.888888889,31.22222222,2.888888889,8.666666667,20.88888889,13.77777778,11.33333333,3.777777778
0.777777778,6.777777778,4.222222222,5.222222222,27.88888889,5.888888889,12,2.222222222,6.888888889,8,31,8.222222222,9.666666667,3.888888889,59.22222222,2.555555556,8.777777778
2.111111111,11.77777778,16,20,4.333333333,16.22222222,13,9.555555556,1.111111111,8.888888889,58.11111111,8,10.66666667,5.666666667,40,10,9
4.111111111,2.777777778,7.111111111,12.22222222,18.22222222,4.888888889,7.444444444,2.444444444,1.888888889,6.111111111,43.55555556,5.444444444,15.44444444,1.444444444,8.444444444,2,3.888888889
8.666666667,0.111111111,17.11111111,2.444444444,7.555555556,4,6.222222222,12.77777778,5.777777778,7.333333333,71.77777778,8.777777778,6,2,13.55555556,69,5.666666667
19,14.22222222,6.111111111,16.55555556,31,11.11111111,18.66666667,7.555555556,2.777777778,0.444444444,25,2.444444444,4.888888889,13.22222222,15.33333333,86.88888889,4.222222222
16.88888889,2,5.555555556,0.777777778,20.22222222,5,11.11111111,4.222222222,7.111111111,1.555555556,76.11111111,4.111111111,1.777777778,2.111111111,21.33333333,86.11111111,9.888888889
3.222222222,1.666666667,57.22222222,10.66666667,24.44444444,14.33333333,3.222222222,9.111111111,8.666666667,16.11111111,25.11111111,18.77777778,15.44444444,3.555555556,3,11.11111111,0.555555556
27.77777778,33.55555556,77,18.22222222,6.666666667,8.666666667,1.444444444,8.888888889,1.111111111,1.888888889,29.33333333,1.777777778,3.111111111,8,8.888888889,12.33333333,4.222222222
0.666666667,10.22222222,3.111111111,6.666666667,5.888888889,24.55555556,2.444444444,0.444444444,11.77777778,6.444444444,26.11111111,7.111111111,7.222222222,12.88888889,15.11111111,83.66666667,23.33333333
8.555555556,6.666666667,1.111111111,11.88888889,18.66666667,25.66666667,4,4.444444444,2.333333333,3.888888889,40.22222222,2.333333333,5.666666667,0.222222222,22.77777778,1,6.333333333
