accuracy_ 66961,accuracy_ 67072,accuracy_ 67120,accuracy_ 67360,accuracy_ 67378,accuracy_ 67567,accuracy_ 67672,accuracy_ 67684,accuracy_ 67765,accuracy_ 68812,accuracy_ 68818,accuracy_ 68932,accuracy_ 68977,accuracy_ 69094,accuracy_ 69298,accuracy_ 69478,accuracy_ 69592,accuracy_ 69610,accuracy_ 69622,accuracy_ 69844
12,14,0.444444444,13.22222222,11.88888889,68.88888889,17.88888889,16.55555556,14.66666667,11.55555556,14.22222222,6.555555556,16.55555556,20.55555556,3.222222222,7.111111111,6.555555556,25.22222222,15.44444444,5.888888889
5.444444444,5.222222222,14.11111111,7.444444444,21,75.44444444,1.444444444,32.11111111,8.555555556,11.44444444,36.55555556,14.22222222,12.22222222,9.222222222,0.888888889,6.888888889,8.888888889,10.88888889,19.55555556,16.88888889
3.888888889,15.77777778,21.77777778,19.66666667,3.111111111,7.888888889,8.333333333,18.55555556,6.444444444,16.11111111,8.555555556,9.555555556,3.444444444,15.77777778,32.22222222,4.888888889,2,32.66666667,2.777777778,3.444444444
1.666666667,7.222222222,4.333333333,10.66666667,6.333333333,10.11111111,11.22222222,23.22222222,1.222222222,19.22222222,33,9,2.888888889,12,1.111111111,19.44444444,10.88888889,15.22222222,2.777777778,5.555555556
11.77777778,0.555555556,8.444444444,16,12,12.77777778,35.55555556,6.333333333,7.333333333,80.55555556,29.77777778,17.11111111,5.888888889,4.555555556,13,8,10.44444444,1.333333333,3.333333333,1.111111111
12.77777778,4,3.666666667,13.33333333,19.22222222,58.11111111,0.222222222,12.55555556,7.444444444,13.55555556,27,1.111111111,11.22222222,1.555555556,0.666666667,2.111111111,4.111111111,6,10.66666667,13
10.77777778,27.22222222,6.111111111,6.444444444,2.444444444,75.88888889,20.55555556,21,7.777777778,28,29.66666667,2.111111111,4.555555556,8.555555556,9.888888889,1.888888889,0.555555556,2.888888889,65.88888889,2.888888889
10.66666667,3.333333333,2.111111111,11.66666667,7.666666667,14,4.888888889,18,21.55555556,11.11111111,88,6.222222222,24.55555556,12.11111111,7.555555556,8.777777778,8.333333333,22.88888889,11.33333333,0.444444444
6.555555556,3.222222222,1.222222222,17,1.555555556,83.11111111,14.33333333,2.444444444,9.111111111,1.888888889,24.22222222,14,10.77777778,4.666666667,0.111111111,5.555555556,18.88888889,10.22222222,1.555555556,10.22222222
4.444444444,5.333333333,5.555555556,65.66666667,17,2.666666667,4.666666667,6.222222222,5.444444444,13.77777778,53.77777778,5.555555556,0.777777778,0.1,5.333333333,4.666666667,7,13.11111111,3.666666667,3.333333333
