accuracy_ 21486,accuracy_ 21589,accuracy_ 22223,accuracy_ 66943,accuracy_ 67084,accuracy_ 67246,accuracy_ 67312,accuracy_ 67429,accuracy_ 67501,accuracy_ 67561,accuracy_ 68857,accuracy_ 68929,accuracy_ 68998,accuracy_ 69190,accuracy_ 69214,accuracy_ 69364,accuracy_ 69700,accuracy_ 69757
16.88888889,6.333333333,5.333333333,0.777777778,2.222222222,11.44444444,16.44444444,22.55555556,8.666666667,7.555555556,13.88888889,16.55555556,4.888888889,8,2.666666667,11.22222222,14.66666667,6.444444444
3,14.33333333,2.666666667,3,12.66666667,7.888888889,8.222222222,1.666666667,11.11111111,9.777777778,11,12.55555556,6.111111111,2.444444444,1,15.77777778,4.111111111,0.333333333
9.777777778,68.22222222,3.111111111,19.66666667,16.22222222,12.88888889,5.111111111,12.22222222,19.55555556,27.55555556,5.777777778,8.222222222,21.77777778,7.222222222,6.111111111,0.333333333,13.55555556,1
11.11111111,20.11111111,7,5.888888889,2.111111111,8.555555556,15.55555556,16.33333333,4,28.88888889,13.66666667,15.22222222,13,5.555555556,3,7.333333333,5,3.777777778
4.666666667,12,1.555555556,3.444444444,2,52.44444444,13,3.333333333,22.33333333,14,5.888888889,13.77777778,2.444444444,3.333333333,12,3.888888889,18.22222222,6.333333333
4.333333333,7.444444444,1,84.88888889,8.333333333,37.44444444,16,8,4.222222222,1.666666667,2.111111111,3.888888889,20.66666667,2.111111111,4.555555556,12.22222222,21.55555556,7.222222222
23.44444444,6.666666667,6.555555556,15.88888889,15.11111111,1.111111111,0.1,16.11111111,12.33333333,16.44444444,23.55555556,13.77777778,13.77777778,1.333333333,3.444444444,5.777777778,16.33333333,0.888888889
8.666666667,21.77777778,2.222222222,0.222222222,1.444444444,32.33333333,4.222222222,9.666666667,12.44444444,0.111111111,23.66666667,6.777777778,20.66666667,0.666666667,6.333333333,18.88888889,10.88888889,6.666666667
4.777777778,2.666666667,3,17.44444444,3.888888889,8.555555556,8.555555556,2.555555556,1.777777778,10,7.444444444,19.66666667,61.88888889,23,1.666666667,18,27.66666667,11.33333333
18.66666667,12.22222222,10.44444444,5.666666667,0.1,5.444444444,16,18,9.777777778,2.777777778,13.44444444,0.444444444,6.111111111,0.555555556,3.555555556,9.222222222,3,1.666666667
1.777777778,6.777777778,8.444444444,21.55555556,4.555555556,15.77777778,7.222222222,4.222222222,0.888888889,4.555555556,8.888888889,12.55555556,2.555555556,9.333333333,5,16.44444444,12,32.66666667
17.11111111,2,11,7.777777778,5.888888889,2.666666667,1,4.888888889,4.888888889,8.555555556,3.111111111,0.555555556,76.22222222,5.222222222,4.111111111,10.11111111,8.333333333,22.44444444
17.33333333,16,9.111111111,4.777777778,3.888888889,1.555555556,1.444444444,7.555555556,4.222222222,4,2.333333333,26.22222222,0.777777778,1.222222222,8,10,13.22222222,8.111111111
