"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14","lp.15","lp.16","lp.17"
"31",0.175206612,0.065,0.304,0.059813084,0.542857143,0.1,0.038167939,,0.042990654,0.351162791,0.017391304,0.495774648,0.007476636,0.204958678,1.323076923,,,0.018181818
"32",0.146666667,0.066019417,0.491764706,0.636842105,0.218421053,0.411764706,0.158695652,,0.155223881,0.485714286,0.158139535,0.157142857,0.234482759,1,0.060869565,,,0.072164948
"33",0.307692308,0.35,0.416393443,0.446153846,0.073786408,0.044642857,0.1421875,,0.157142857,0.196116505,0.077310924,0.084931507,0.363793103,0.31235955,0.068965517,,,0.113157895
"34",0.134615385,0.237837838,0.04,0.04,0.3,0.26446281,0.185365854,,0.225,0.028571429,0.1,0.175903614,0.55,0.162790698,0.151724138,,,0.127102804
"35",0.309090909,0.294117647,3.03902439,0.3952,0.396551724,0.056097561,0.31,,0.108737864,0.313157895,0.058139535,0.463157895,0.630769231,0.351162791,0.205660377,,,0.053448276
"36",0.211428571,0.235616438,1,0.1,0.466666667,0.093129771,0.035714286,,0.35,0.059459459,0.088372093,0.17826087,0.171681416,0.45840708,0.326315789,,,0.210344828
"37",0.528767123,0.406818182,0.222727273,0.246153846,0.364705882,0.036220472,0.237647059,,0.318181818,0.228571429,0.157142857,0.04,0.045945946,0.1,0.17826087,,,0.233333333
"38",0.266666667,0.447727273,0.014285714,0.10625,0.186666667,0.869230769,0.4,,0.052830189,0.38125,0.025316456,0.125,0.209756098,0.0875,0.455813954,,,0.04375
"39",0.129411765,0.20733945,1.8,0.424175824,0.228571429,0.342857143,0.107692308,,0.35,0.941935484,0.155555556,0.092857143,1,0.32,0.428037383,,,0.569230769
"40",0.203846154,0.386363636,0.101492537,0.185882353,0.217647059,0.210909091,0.352,,0.089655172,1.259574468,0.125,0.317241379,0.079069767,1,0.040963855,,,0.106666667
"41",0.65,0.2125,0.1,0.15,0.196428571,0.089156627,0.193103448,,0.086956522,0.086153846,0.125,0.15,0.237288136,0.003846154,0.068235294,,,0.414285714
"42",0.117241379,0.12195122,0.288372093,0.3,0.35,0.210909091,0.25,,0.04375,0.135064935,0.121311475,0.0125,1,0.07027027,0.302985075,,,0.028571429
"43",0.243478261,0.124324324,0.067857143,0.006896552,0.148648649,0.36,0.218181818,,0.1,0.22,0.096551724,0.164705882,0.123478261,0.342622951,0.022857143,,,0.136065574
"44",0.065822785,0.2672,0.55,0.614285714,0.266666667,0.493617021,0.051948052,,0.34084507,0.258646617,0.051685393,0.119512195,0.227906977,1,0.314782609,,,0.215841584
"45",0.445070423,0.682352941,1,0.16,0.298701299,0.897297297,0.232876712,,0.014084507,0.22970297,0.136585366,0.07704918,0.185365854,0.001886792,0.85,,,0.286792453
"46",1.517021277,0.228571429,0.018867925,0.068292683,1.208403361,0.162790698,0.157142857,,0.1504,0.154545455,,0.076086957,0.298701299,0.030769231,0.193103448,,,1.775
"47",0.032,0.205882353,0.1,0.073394495,0.3232,0.761702128,0.06,,0.088372093,0.034042553,,0.037209302,0.186363636,0.251948052,0.08,,,0.206185567
"48",0.537078652,0.2875,0.170588235,0.50212766,0.318918919,0.566666667,0.07804878,,0.654054054,0.329411765,,0.123893805,0.327472528,0.431578947,0.114754098,,,0.12
"49",0.048275862,0.53,0.294117647,0.208,0.173770492,0.345631068,0.01,,0.152,0.11011236,,0.171428571,0.196923077,0.204210526,1.720930232,,,0.064566929
"50",0.291764706,0.185714286,0.412244898,0.521875,0.614285714,0.070491803,0.494736842,,0.058139535,0.378181818,,0.015625,0.2125,0.332258064,2.013953488,,,0.113559322
"51",1.875,0.3925,0.307692308,0.123076923,0.16,0.107317073,0.098305085,,0.005714286,0.25,,0.25,0.325,0.495384615,0.111764706,,,0.112727273
"52",0.847368421,0.116363636,0.173913044,0.32173913,0.618181818,0.255769231,0.1,,0.1648,0.763157895,,0.247272727,0.09010989,0.044,0.23,,,0.526086956
"53",0.303448276,0.309589041,0.25,0.46440678,0.568181818,0.025,0.015384615,,0.226168224,0.220895522,,0.158695652,1,0.421052632,0.121259843,,,0.07
"54",0.246938775,0.07107438,0.1,0.414285714,0.224,0.419230769,0.131578947,,0.1475,0.018181818,,0.040963855,0.08,0.481081081,0.284090909,,,0.217391304
"55",0.095652174,0.591735537,0.128358209,0.032352941,0.218461538,1.2,0.3125,,0.558490566,0.136585366,,0.009756098,0.083185841,0.213793103,0.014084507,,,0.354639175
"56",0.034328358,0.027027027,0.327710843,0.169072165,0.142608696,0.898630137,0.208,,0.083870968,0.170588235,,0.018181818,0.159615385,0.23125,2.6,,,0.010687023
"57",0.604347826,0.397014925,0.037209302,0.444444444,1.32,0.431578947,0.006896552,,0.226,0.692682927,,0.11,0.052307692,0.368,0.323076923,,,0.281818182
"58",0.173913043,0.01,0.116,0.224615385,0.263636364,0.116981132,0.125,,0.060465116,0.32173913,,0.276635514,0.14893617,0.1,2.728571429,,,0.017391304
"59",0.002061856,0.060714286,0.446428571,0.192771084,0.15,0.254545455,0.003278689,,0.353846154,0.681012658,,0.25,0.39787234,0.35,0.169230769,,,0.065384615
"60",2.653061225,0.2,0.073267327,0.50212766,0.82278481,0.02556391,0.216666667,,0.140458015,1.519587629,,0.017391304,0.255172414,0.317241379,0.086956522,,,0.066666667
"61",0.084745763,,,0.404878049,0.4,0.824778761,,,1.667741936,0.175700935,,,0.022727273,1.175609756,0.410909091,,,0.341818182
"62",0.074766355,,,0.015384615,2.8,0.25,,,0.1,0.125,,,0.415,0.4765625,1.979411765,,,0.042553191
"63",0.479518072,,,0.2,0.48,0.144262295,,,0.509090909,0.426086956,,,0.36097561,0.14893617,0.142857143,,,0.2
"64",0.028571429,,,0.38125,0.312727273,0.181818182,,,0.106766917,0.785714286,,,1,0.589361702,0.163779528,,,0.185365854
"65",0.169230769,,,0.272727273,0.322352941,0.217391304,,,0.285714286,0.2375,,,0.025,0.258252427,0.476363636,,,0.1
"66",0.651612903,,,0.124324324,0.478947368,0.212244898,,,0.116666667,0.270886076,,,0.287128713,0.433870968,0.1,,,0.304545455
"67",0.4,,,0.079069767,0.003076923,1.18,,,0.163414634,0.060869565,,,0.362162162,0.872,0.075229358,,,0.02
"68",0.542857143,,,0.424,0.013461538,0.375609756,,,0.060869565,0.390769231,,,0.524489796,0.356521739,0.375,,,0.07027027
"69",0.546456693,,,0.738636364,0.292307692,0.115217391,,,0.206779661,0.485714286,,,0.269565217,0.075862069,3,,,0.038834951
"70",0.083636364,,,0.678378378,0.140909091,0.225,,,0.423300971,0.335,,,0.331958763,0.031707317,3.995,,,0.417021277
"71",0.178947368,,,0.373913043,0.284931507,0.440540541,,,0.064,0.147368421,,,0.157142857,0.107317073,0.102040816,,,0.117241379
"72",0.218181818,,,0.575,0.266101695,1.6,,,0.052631579,0.013445378,,,0.055,0.205,3.304347825,,,0.170588235
"73",0.125,,,0.412244898,0.20862069,0.713461538,,,0.083018868,0.4,,,0.265625,0.02173913,0.158878505,,,1.414159292
"74",0.163380282,,,0.373684211,0.037209302,0.228571429,,,0.110638298,0.043697479,,,0.196694215,0.213445378,0.157446809,,,0.19
"75",0.035051546,,,0.251685393,0.112195122,0.672727273,,,0.022857143,0.307692308,,,0.08,0.116071429,0.04,,,0.055639098
"76",0.12,,,0.132142857,0.221428571,0.8,,,1.521052632,0.2,,,1,0.503296703,0.007142857,,,0.258823529
"77",0.590697674,,,0.028571429,0.404878049,0.318181818,,,0.185,0.159322034,,,0.345454546,0.173469388,0.8,,,0.125
"78",0.08,,,0.468852459,0.142857143,0.161643836,,,0.173913043,0.037931034,,,0.338235294,3.615384615,0.092857143,,,0.214634146
"79",0.004651163,,,0.286792453,0.063013699,0.177952756,,,0.134246575,0.619230769,,,0.335483871,0.086486486,0.431578947,,,0.132142857
"80",0.102040816,,,0.636363636,0.310638298,0.276086957,,,0.18852459,0.184615385,,,0.003883495,0.162790698,0.352,,,2.481967213
"81",0.006779661,,,0.069306931,0.142857143,0.048818898,,,0.003278689,0.466666667,,,0.325,0.690909091,2.058823529,,,0.007142857
"82",0.325,,,0.412307692,0.144186046,0.685714286,,,0.292857143,0.047540984,,,0.1,0.216666667,0.380645161,,,0.132727273
"83",0.552941177,,,0.053658537,0.176923077,0.759090909,,,0.01627907,0.175903614,,,0.807142857,1.95,0.026315789,,,0.366666667
"84",0.186813187,,,0.063636364,0.751351351,0.476,,,0.285714286,0.370731707,,,0.058461538,0.047058824,0.16,,,0.14375
"85",0.757142857,,,0.246153846,0.302631579,0.128571429,,,0.442857143,0.174117647,,,0.410344828,0.300970874,0.125,,,0.129032258
"86",0.248387097,,,0.076923077,0.733333333,0.089411765,,,0.242857143,0.015384615,,,0.144262295,0.049056604,0.506122449,,,0.293846154
"87",0.2875,,,0.157142857,0.297674419,0.181818182,,,0.267826087,0.316666667,,,0.305882353,0.258823529,0.07027027,,,0.3
"88",0.089156627,,,0.159090909,0.010204082,0.305882353,,,0.043697479,0.523529412,,,0.271428571,0.170588235,0.35,,,0.060714286
"89",0.147368421,,,0.23,0.371084337,0.019642857,,,0.187096774,0.321311475,,,0.128358209,0.321276596,1.257894737,,,0.079545455
"90",0.107692308,,,0.195419847,0.306024096,0.228571429,,,0.01,0.1936,,,0.292134831,0.288709677,2.396774194,,,0.055
"91",2.624390244,,,,0.2,0.155,,,0.26744186,0.107086614,,,0.45,0.304201681,0.423076923,,,0.07027027
"92",0.113157895,,,,0.028571429,1,,,0.143243243,0.066037736,,,0.046,0.44,1.107317073,,,0.115789474
"93",0.025688073,,,,0.026229508,1.285714286,,,0.101492537,0.024615385,,,0.05,0.112195122,0.043478261,,,0.130769231
"94",0.8,,,,0.060869565,0.389830509,,,0.321311475,0.163157895,,,0.121428571,0.005194805,0.098305085,,,0.025882353
"95",0.270588235,,,,0.615384615,0.248979592,,,0.12,0.336842105,,,0.023728814,0.40338983,0.322077922,,,0.236144578
"96",0.367567568,,,,0.2,1.072727273,,,0.001886792,0.016494845,,,1,0.036363636,0.260273973,,,0.111111111
"97",0.089655172,,,,0.3125,0.172,,,0.366666667,0.026666667,,,0.328571429,0.283870968,0.161818182,,,0.337614679
"98",0.025882353,,,,0.545454545,0.431578947,,,0.051948052,0.214893617,,,0.077310924,0.133333333,0.046511628,,,0.023529412
"99",0.311428571,,,,0.115,0.261538462,,,0.162790698,0.1925,,,0.421052632,0.954285714,0.155223881,,,0.066666667
"100",0.384615385,,,,0.26875,0.470588235,,,0.203278689,0.305,,,0.613793104,0.040625,0.32,,,0.065789474
"101",0.186666667,,,,0.380645161,0.35,,,0.04375,0.111764706,,,0.125,0.393548387,0.115789474,,,0.0125
"102",0.2,,,,0.181818182,0.148275862,,,0.176923077,0.125,,,0.085714286,0.217647059,0.58,,,0.0125
"103",0.015625,,,,0.4,0.1808,,,0.058823529,0.545054945,,,0.034545455,0.051785714,0.0224,,,0.01
"104",0.2,,,,0.055639098,0.292857143,,,0.270588235,0.143925234,,,0.036842105,0.061538462,0.8,,,0.016806723
"105",0.007462687,,,,0.285714286,0.332,,,0.1216,0.203539823,,,0.1375,0.091743119,0.443298969,,,0.0944
"106",0.514,,,,,0.071875,,,0.060869565,0.14,,,1,,2.374545454,,,
"107",0.11011236,,,,,0.107692308,,,0.266666667,0.305263158,,,0.015384615,,0.334,,,
"108",1.605263158,,,,,0.255813953,,,0.05,0.042105263,,,0.348275862,,0.260273973,,,
"109",0.179746835,,,,,0.271428571,,,0.151351351,0.281355932,,,0.603636363,,0.073076923,,,
"110",0.36097561,,,,,0.136842105,,,0.285714286,0.465625,,,0.393877551,,0.268852459,,,
"111",0.529032258,,,,,0.143243243,,,0.060714286,0.086956522,,,0.444117647,,0.304545455,,,
"112",0.2,,,,,0.707692307,,,0.393478261,0.290909091,,,0.058823529,,0.262,,,
"113",0.038461538,,,,,0.209345794,,,0.146153846,0.431578947,,,0.298947368,,0.066666667,,,
"114",0.337142857,,,,,0.266666667,,,0.010204082,0.4203125,,,0.2,,0.172093023,,,
