"","distance_ 67060","distance_ 67276","distance_ 67417","distance_ 67486","distance_ 67759","distance_ 68965","distance_ 68995","distance_ 69058","distance_ 69076","distance_ 69160","distance_ 69175","distance_ 69199","distance_ 69220","distance_ 69358","distance_ 69727","distance_ 69850","distance_ 69853","distance_ 69862"
"89",31.66666667,33.33333333,66.11111111,-75,-48.88888889,-33.33333333,46.11111111,37.22222222,52.22222222,62.22222222,-53.88888889,67.77777778,-61.11111111,-41.11111111,-63.33333333,-46.66666667,58.88888889,-51.66666667
"90",65,-22.22222222,-22.22222222,-63.33333333,66.66666667,-72.77777778,-46.11111111,49.44444444,68.88888889,38.88888889,-38.33333333,-69.44444444,-74.44444444,-56.66666667,-34.44444444,-72.77777778,-65,66.66666667
"91",22.77777778,27.77777778,33.33333333,21.66666667,-20.55555556,-68.88888889,65,-20,66.11111111,66.66666667,34.44444444,70.55555556,-44.44444444,-21.11111111,-43.33333333,71.66666667,31.11111111,-47.77777778
"92",42.22222222,31.11111111,51.11111111,-20.55555556,-63.33333333,59.44444444,38.88888889,-55.55555556,50,53.33333333,-62.77777778,58.88888889,28.33333333,-33.88888889,68.33333333,-69.44444444,-61.11111111,-41.11111111
"93",-60.55555556,-71.66666667,48.88888889,44.44444444,-43.33333333,38.33333333,-67.77777778,-40,68.33333333,70,-58.88888889,72.22222222,-32.22222222,32.77777778,38.33333333,51.66666667,-67.22222222,-37.22222222
"94",64.44444444,56.66666667,25.55555556,-42.77777778,47.22222222,47.77777778,-38.33333333,46.66666667,-42.77777778,-32.77777778,-33.33333333,-63.33333333,43.33333333,-66.11111111,32.77777778,-24.44444444,45,-33.88888889
"95",47.22222222,42.77777778,55.55555556,37.22222222,-46.11111111,-44.44444444,21.66666667,65.55555556,-65.55555556,27.22222222,-33.33333333,42.22222222,-41.66666667,-58.88888889,42.77777778,55,39.44444444,75
"96",41.11111111,-46.11111111,-27.77777778,43.33333333,45,27.22222222,-55,-50.55555556,-73.33333333,-36.66666667,60.55555556,53.88888889,-60,-63.88888889,40.55555556,31.11111111,-43.33333333,-58.88888889
"97",-48.33333333,41.11111111,-73.88888889,65,60.55555556,27.22222222,53.33333333,-70,-51.66666667,55.55555556,28.88888889,75,25,-65,-61.11111111,24.44444444,37.77777778,-30
"98",-47.22222222,58.88888889,57.77777778,72.77777778,56.66666667,62.77777778,-55,-66.11111111,-30,-21.11111111,42.77777778,-52.22222222,-51.11111111,-50,47.77777778,38.33333333,56.11111111,42.77777778
"99",38.88888889,60.55555556,-27.22222222,-62.77777778,-30,68.88888889,66.66666667,-21.11111111,-38.88888889,-65,58.33333333,44.44444444,57.77777778,-68.88888889,74.44444444,-60,32.77777778,23.88888889
"100",-21.66666667,-55.55555556,-57.77777778,-36.66666667,-42.22222222,36.66666667,-53.33333333,-64.44444444,-35.55555556,-47.22222222,75,-44.44444444,-56.66666667,33.33333333,-25,-59.44444444,-40,-67.77777778
"101",75,65.55555556,-73.88888889,36.66666667,26.66666667,-35,51.66666667,26.66666667,51.66666667,-20,-60,-56.66666667,-29.44444444,-60.55555556,31.66666667,66.11111111,40,53.33333333
"102",60,21.11111111,21.66666667,27.22222222,-62.22222222,-68.88888889,-42.77777778,70,37.77777778,32.22222222,26.66666667,-35.55555556,68.33333333,-45.55555556,33.33333333,-70,-67.22222222,57.77777778
"103",-35.55555556,-46.11111111,-44.44444444,56.66666667,60,-64.44444444,-63.33333333,-61.11111111,-62.22222222,69.44444444,54.44444444,50.55555556,30,-52.77777778,69.44444444,-44.44444444,-23.33333333,-66.11111111
"104",-48.33333333,39.44444444,49.44444444,-65,-66.11111111,-71.11111111,-73.88888889,-63.33333333,-43.33333333,46.66666667,28.33333333,-59.44444444,35,69.44444444,-24.44444444,65,48.88888889,-47.22222222
"105",74.44444444,-68.33333333,64.44444444,-67.22222222,69.44444444,49.44444444,50.55555556,26.66666667,-60.55555556,-27.77777778,-20.55555556,-62.77777778,32.22222222,-48.33333333,-53.88888889,33.33333333,-35.55555556,-69.44444444
"106",-55.55555556,47.77777778,-70,21.11111111,-51.11111111,53.88888889,58.33333333,-57.77777778,71.66666667,-71.11111111,56.11111111,-66.66666667,71.11111111,-23.88888889,30.55555556,64.44444444,45.55555556,-63.88888889
"107",49.44444444,-48.88888889,-20,35,67.22222222,-28.88888889,26.66666667,65,-70,-65,-21.11111111,-31.66666667,-45,-74.44444444,55.55555556,75,57.77777778,-45
"108",-21.11111111,41.11111111,58.88888889,60,62.77777778,71.11111111,-23.33333333,64.44444444,-35.55555556,-23.88888889,-33.88888889,-52.77777778,73.88888889,-23.33333333,40.55555556,-60,-66.66666667,-33.33333333
"109",-43.88888889,-24.44444444,22.22222222,-47.22222222,73.33333333,32.77777778,35,-30.55555556,-75,46.66666667,-42.22222222,32.77777778,51.66666667,38.88888889,-28.88888889,37.22222222,-33.33333333,-61.66666667
"110",-22.77777778,50,70.55555556,67.22222222,-40.55555556,-63.33333333,-55,54.44444444,42.77777778,-31.66666667,-75,-35.55555556,-32.77777778,46.66666667,33.88888889,-33.33333333,58.88888889,-54.44444444
"111",-51.66666667,-63.33333333,-65.55555556,71.11111111,40.55555556,-45.55555556,-30.55555556,-37.77777778,23.88888889,41.11111111,-51.66666667,-38.33333333,37.22222222,63.33333333,73.33333333,-63.88888889,-27.22222222,-31.11111111
"112",-36.66666667,-74.44444444,-39.44444444,38.33333333,-56.11111111,64.44444444,48.88888889,56.66666667,59.44444444,-21.66666667,29.44444444,-55,-30,36.66666667,55.55555556,28.88888889,-45.55555556,51.11111111
"113",-28.88888889,55,66.11111111,-47.22222222,-40,-67.77777778,53.88888889,-52.77777778,-21.66666667,59.44444444,60.55555556,52.77777778,-63.33333333,-32.22222222,-45,-68.33333333,57.77777778,43.33333333
"114",-38.88888889,28.33333333,-65.55555556,67.22222222,-50.55555556,-30.55555556,20,-70,72.77777778,-60,65.55555556,-71.11111111,55.55555556,38.33333333,71.66666667,72.77777778,-33.33333333,54.44444444
"115",-50,-25.55555556,22.77777778,55.55555556,-66.66666667,46.66666667,-72.22222222,-33.33333333,25,25.55555556,-21.11111111,38.88888889,-66.11111111,-41.66666667,-47.22222222,-48.33333333,-71.66666667,72.77777778
"116",-46.11111111,49.44444444,48.88888889,-44.44444444,57.77777778,73.33333333,55.55555556,49.44444444,48.88888889,-46.11111111,51.66666667,75,-60.55555556,55,59.44444444,70,38.88888889,-33.33333333
"117",-68.88888889,20,34.44444444,-74.44444444,66.66666667,-25,-37.77777778,-69.44444444,-66.11111111,73.33333333,56.11111111,33.88888889,26.11111111,51.11111111,70.55555556,23.33333333,37.22222222,-31.11111111
"118",-39.44444444,-38.33333333,51.66666667,32.77777778,30,-41.11111111,38.33333333,-35,20,-73.33333333,33.88888889,-64.44444444,-58.33333333,-33.33333333,52.77777778,-55.55555556,52.22222222,61.11111111
"119",71.66666667,68.33333333,-26.66666667,-57.22222222,-63.88888889,-22.77777778,-45,42.77777778,-40.55555556,-68.33333333,51.66666667,-61.66666667,-35.55555556,-47.22222222,73.33333333,55,-43.33333333,45.55555556
"120",-21.11111111,-50,52.22222222,-33.88888889,-51.11111111,33.88888889,46.11111111,-52.22222222,73.33333333,32.22222222,-52.22222222,-57.77777778,40,72.77777778,52.22222222,75,31.11111111,27.77777778
"121",-55.55555556,55.55555556,-42.77777778,-26.66666667,56.11111111,35,-57.22222222,26.66666667,53.33333333,-69.44444444,-28.33333333,30,31.11111111,-38.33333333,38.88888889,-29.44444444,35,55
"122",53.88888889,54.44444444,37.77777778,72.22222222,-69.44444444,32.77777778,56.66666667,-48.88888889,38.33333333,39.44444444,31.11111111,-43.88888889,62.77777778,-70,58.88888889,-40,-28.33333333,-36.11111111
"123",58.88888889,41.11111111,22.22222222,-37.77777778,22.22222222,-65,-38.88888889,-25,-56.11111111,69.44444444,-68.88888889,52.77777778,-45,65,-50.55555556,-73.33333333,-33.33333333,-62.22222222
