"","accuracy_ 67060","accuracy_ 67276","accuracy_ 67417","accuracy_ 67486","accuracy_ 67759","accuracy_ 68965","accuracy_ 68995","accuracy_ 69058","accuracy_ 69076","accuracy_ 69160","accuracy_ 69175","accuracy_ 69199","accuracy_ 69220","accuracy_ 69358","accuracy_ 69727","accuracy_ 69850","accuracy_ 69853","accuracy_ 69862"
"21",10.22222222,5.222222222,33.11111111,7.555555556,9.666666667,15.22222222,20.44444444,8.666666667,13.22222222,6.555555556,0.666666667,0.666666667,7.555555556,14.66666667,1.777777778,7.444444444,16.77777778,6.888888889
"22",2.444444444,6.333333333,3.555555556,8.333333333,7.444444444,20.11111111,11.33333333,62.22222222,1.555555556,2.666666667,10.11111111,6.666666667,3.111111111,11.22222222,19.22222222,15.33333333,17.44444444,7.444444444
"23",3.666666667,15.11111111,3.111111111,6.888888889,16,6.222222222,7,9.222222222,23.88888889,18.88888889,14.66666667,12.88888889,18.33333333,12.88888889,1.444444444,0.111111111,30.55555556,4.555555556
"24",88.11111111,31.33333333,1.777777778,1.555555556,8,18.22222222,8.222222222,14.55555556,12.77777778,37.44444444,3.222222222,1,3.666666667,3.555555556,8.333333333,21.33333333,16.88888889,5.222222222
"25",20.44444444,8.888888889,20.33333333,0.777777778,10.11111111,14.22222222,7.222222222,2.111111111,29.66666667,46.77777778,6.555555556,11.88888889,7,7.777777778,29.33333333,17.22222222,9.444444444,2.222222222
"26",21.44444444,7.888888889,0.555555556,6.888888889,10.44444444,16.88888889,27,10.66666667,0.444444444,2.222222222,1.555555556,2.888888889,4.555555556,1,9.666666667,18.88888889,10.22222222,7.222222222
"27",20.88888889,2.333333333,16.33333333,1.777777778,0.555555556,18.22222222,11.11111111,13,27.66666667,3.777777778,10.88888889,6.666666667,5,13,6.555555556,11.44444444,3.111111111,0.666666667
"28",40.11111111,13,13,3.333333333,3,8.555555556,15.88888889,35.44444444,7,8.888888889,8.444444444,12,6.888888889,5.777777778,10.77777778,25.55555556,17.88888889,8
"29",5.333333333,28.11111111,16.33333333,0.222222222,5.333333333,5.555555556,8.888888889,5.666666667,7.777777778,12.44444444,14.22222222,1.888888889,4.444444444,7.111111111,5.111111111,7.555555556,5.888888889,0.222222222
"30",13.77777778,0.555555556,8.222222222,1.111111111,4.333333333,24.44444444,19,16.77777778,22.33333333,6.333333333,16.22222222,8.666666667,2.444444444,0.333333333,25.66666667,5.444444444,15.55555556,16.22222222
"31",11.77777778,4.333333333,12.66666667,2.444444444,1.333333333,3.555555556,14.77777778,0.444444444,13.77777778,4.444444444,2.777777778,16.77777778,0.666666667,19.55555556,86,12.11111111,8.777777778,2.555555556
"32",11,3.777777778,23.22222222,1.444444444,3.888888889,40.33333333,9.222222222,11.33333333,25.55555556,23.33333333,8.111111111,13.22222222,11.33333333,4.888888889,3.888888889,11,15.22222222,5.777777778
"33",15.55555556,21,14.11111111,6.222222222,4.777777778,9.666666667,4.222222222,23.44444444,15.44444444,2.777777778,10.11111111,11.22222222,5.111111111,3.444444444,2.222222222,72.22222222,26.77777778,9.777777778
"34",7.777777778,14.66666667,2.333333333,7.333333333,7.555555556,1.333333333,6,24.44444444,7.777777778,17.77777778,4.222222222,0.666666667,5.444444444,8.111111111,7.333333333,1.777777778,18.66666667,9
"35",15.11111111,8.333333333,69.22222222,1.222222222,3.444444444,27.44444444,12.77777778,13.66666667,16.77777778,2.555555556,10.33333333,13.22222222,2.777777778,14.66666667,12.11111111,12.66666667,20.44444444,6.222222222
"36",12.33333333,9.555555556,72.22222222,1.888888889,13.55555556,5,21,10.77777778,28.77777778,6.777777778,2.222222222,3.666666667,2.111111111,4.555555556,10.33333333,27.11111111,21.77777778,14.77777778
"37",21.44444444,19.88888889,10.88888889,15.88888889,7,12.44444444,13.77777778,1.888888889,6.666666667,2.555555556,11.22222222,14.22222222,6.111111111,3,9.111111111,15.22222222,22.55555556,23.33333333
"38",8,21.88888889,1,3.444444444,2.333333333,5.666666667,14,9.555555556,2.333333333,62.77777778,8.666666667,13.55555556,1.111111111,6.111111111,21.77777778,17.88888889,42.77777778,3.111111111
"39",3.666666667,12.55555556,72,3.888888889,12.33333333,21.44444444,11.55555556,35.55555556,8,12,7,32.44444444,7,2.888888889,25.44444444,29,10.44444444,15.55555556
"40",5.888888889,18.88888889,7.555555556,5.222222222,8,8.777777778,12.33333333,1.888888889,24.44444444,12.88888889,14.66666667,65.77777778,3.888888889,15.33333333,1.888888889,85.66666667,27.55555556,4.333333333
"41",13,5.666666667,2.666666667,3.666666667,9.666666667,3,6.111111111,7.777777778,0.111111111,4.111111111,6.222222222,3.111111111,5,3,3.222222222,26.66666667,32.33333333,3.333333333
"42",3.777777778,2.777777778,6.888888889,2.777777778,0.777777778,21,9.333333333,39.44444444,1.444444444,12.88888889,13.33333333,5.777777778,4.111111111,0.333333333,22.55555556,5.111111111,16,1.555555556
"43",9.333333333,2.555555556,2.111111111,12.22222222,9.222222222,0.333333333,6.111111111,7.888888889,23.22222222,9,12,11,4.666666667,9.333333333,1.333333333,32.77777778,24,4.777777778
"44",2.888888889,18.55555556,30.55555556,3.777777778,12.11111111,19.11111111,8,16.33333333,21.11111111,12.88888889,2.222222222,19.11111111,2.555555556,5.444444444,20.11111111,24.55555556,12.55555556,13.44444444
"45",17.55555556,19.33333333,67.77777778,10,8.444444444,9.333333333,12.77777778,8.444444444,0.111111111,18.44444444,9.444444444,12.88888889,9.333333333,5.222222222,17,70.55555556,9.888888889,0.555555556
"46",79.22222222,11.55555556,0.555555556,19.66666667,71,4.666666667,79.88888889,12.77777778,1.111111111,11.66666667,7.333333333,5.666666667,55.55555556,3.888888889,9.333333333,24.44444444,27.55555556,10.44444444
"47",1.333333333,7.777777778,4,2.666666667,11.11111111,4.444444444,22.44444444,4.555555556,10.77777778,19.88888889,3,1.777777778,20.55555556,1.777777778,2,11.66666667,13.44444444,4.222222222
"48",26.55555556,7.666666667,9.666666667,0.333333333,9,13.11111111,6.555555556,16.55555556,18.22222222,17,3.555555556,9.333333333,60,7.777777778,7.777777778,41.33333333,25.66666667,13.44444444
"49",2.333333333,23.55555556,8.333333333,7.666666667,4.555555556,11.55555556,5.888888889,7.111111111,10.77777778,19.77777778,0,5.444444444,8,12,41.11111111,16.55555556,11.44444444,6.333333333
"50",13.77777778,13,22.44444444,6.444444444,7.444444444,18.55555556,19.11111111,13.22222222,11.44444444,4.777777778,15.66666667,11.55555556,19.66666667,1.111111111,48.11111111,0.888888889,10,2.777777778
"51",75,17.44444444,11.11111111,1.111111111,3.444444444,5.333333333,4,21.66666667,35.77777778,7.333333333,3.222222222,5,11.33333333,5,4.222222222,81.11111111,1.666666667,0.333333333
"52",17.88888889,3.555555556,6.666666667,0.222222222,13.44444444,12.33333333,22.66666667,4.555555556,1.222222222,14.77777778,2.555555556,16.11111111,29.22222222,7.555555556,7.666666667,4.666666667,12,11.44444444
"53",9.777777778,12.55555556,6.666666667,12.22222222,4.666666667,30.44444444,41.66666667,49.44444444,8.888888889,1,0.666666667,16.44444444,9.555555556,8.111111111,8.555555556,1.888888889,32.11111111,13.44444444
