"","distance_ 66961","distance_ 67072","distance_ 67120","distance_ 67360","distance_ 67378","distance_ 67567","distance_ 67672","distance_ 67684","distance_ 67765","distance_ 68812","distance_ 68818","distance_ 68932","distance_ 68977","distance_ 69094","distance_ 69298","distance_ 69478","distance_ 69592","distance_ 69610","distance_ 69622","distance_ 69844"
"61",47.22222222,31.11111111,-35,46.66666667,-65,-42.77777778,-60,-31.11111111,57.22222222,-61.11111111,-21.66666667,-60,68.33333333,36.11111111,30.55555556,25.55555556,-50.55555556,70.55555556,-35,26.66666667
"62",-33.33333333,-65,-68.88888889,-39.44444444,-71.66666667,-43.33333333,-28.88888889,27.22222222,57.77777778,-60,55,58.33333333,-48.33333333,27.77777778,28.88888889,-27.22222222,-50,34.44444444,55,41.11111111
"63",43.88888889,41.11111111,-48.33333333,-47.22222222,-73.33333333,57.77777778,22.77777778,-39.44444444,22.77777778,-58.88888889,-43.88888889,-64.44444444,56.66666667,22.77777778,-40,-55,-22.77777778,42.22222222,31.66666667,41.66666667
"64",-28.88888889,-71.66666667,60.55555556,-23.88888889,68.88888889,69.44444444,-71.11111111,70,-60.55555556,33.33333333,55,-73.33333333,-68.88888889,69.44444444,67.22222222,-29.44444444,22.77777778,71.66666667,48.88888889,69.44444444
"65",23.88888889,47.22222222,31.66666667,21.66666667,-23.88888889,-48.33333333,41.66666667,54.44444444,56.66666667,42.22222222,-64.44444444,-61.66666667,-63.33333333,31.11111111,-70,60,-59.44444444,43.33333333,33.88888889,21.66666667
"66",-75,29.44444444,34.44444444,54.44444444,-26.11111111,-67.22222222,-44.44444444,50,67.22222222,-38.33333333,40,-57.77777778,-20.55555556,-20.55555556,22.22222222,-38.88888889,36.66666667,-73.33333333,40.55555556,-56.11111111
"67",26.11111111,-71.11111111,42.22222222,66.11111111,30,-33.88888889,26.66666667,66.66666667,45.55555556,48.33333333,-45,-22.22222222,55.55555556,-50,24.44444444,-56.66666667,-30.55555556,-67.77777778,-26.11111111,-60
"68",-40,35.55555556,-58.88888889,-56.11111111,-32.22222222,-73.88888889,42.77777778,45,-62.22222222,-21.11111111,23.88888889,-73.33333333,50,32.22222222,-21.66666667,27.22222222,66.11111111,32.77777778,55,41.11111111
"69",-30.55555556,74.44444444,-37.22222222,73.88888889,-38.88888889,-73.88888889,47.77777778,-57.77777778,-57.22222222,33.33333333,73.88888889,34.44444444,44.44444444,-41.66666667,60,-71.66666667,-42.77777778,61.11111111,60,-25
"70",-51.66666667,52.22222222,-41.11111111,-68.33333333,35.55555556,-58.33333333,50,73.33333333,58.33333333,-37.77777778,52.22222222,-66.11111111,52.22222222,21.11111111,36.11111111,59.44444444,35.55555556,-23.33333333,49.44444444,41.66666667
"71",-67.77777778,-55.55555556,53.88888889,36.11111111,58.88888889,66.66666667,60.55555556,38.33333333,72.77777778,22.77777778,34.44444444,-41.66666667,-36.66666667,55.55555556,-45.55555556,44.44444444,39.44444444,22.22222222,-29.44444444,-72.22222222
