"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14"
"91",,,,,0.071428571,0.049438202,,0.226168224,0.150561798,,,,,,0.402597403
"92",,,,,0.032786885,0.039655172,,0.152941176,0.0496,,,,,,0.143902439
"93",,,,,0.185714286,0.055172414,,0.218897638,0.026229508,,,,,,0.114285714
"94",,,,,0.017391304,1.460550459,,0.134615385,0.343243243,,,,,,0.0775
"95",,,,,0.155963303,0.183505155,,0.244,0.018181818,,,,,,0.114754098
"96",,,,,0.062,0.172727273,,0.163636364,0.136842105,,,,,,0.5
"97",,,,,0.358823529,0.186086957,,0.006896552,0.002531646,,,,,,0.748837209
"98",,,,,0.333333333,0.04516129,,0.171681416,0.127272727,,,,,,0.364705882
"99",,,,,0.011764706,0.136986301,,0.223853211,0.202857143,,,,,,0.059090909
"100",,,,,0.040625,0.164948454,,0.064,0.152066116,,,,,,0.316
"101",,,,,0.084090909,0.188235294,,0.257894737,0.1984375,,,,,,0.092857143
"102",,,,,0.176923077,0.08125,,1,0.226,,,,,,0.15
"103",,,,,0.082352941,0.039097744,,0.256198347,0.101492537,,,,,,0.15625
"104",,,,,0.036956522,0.203846154,,0.045217391,0.008,,,,,,0.454545455
"105",,,,,0.4,0.217647059,,0.022047244,0.030769231,,,,,,0.18490566
"106",,,,,0.02,0.037288136,,1,0.442,,,,,,0.173214286
"107",,,,,0.022727273,0.037288136,,0.432608696,0.064705882,,,,,,0.202272727
"108",,,,,0.130232558,0.072164948,,0.237837838,0.066666667,,,,,,0.651612903
"109",,,,,0.147368421,0.138235294,,0.057894737,0.051485149,,,,,,0.4
"110",,,,,0.136,0.170434783,,0.085714286,0.068292683,,,,,,0.0224
"111",,,,,0.233333333,0.02173913,,0.172972973,0.198181818,,,,,,0.025688073
"112",,,,,0.376470588,0.120754717,,0.304950495,0.914285714,,,,,,0.1
"113",,,,,0.01147541,0.005263158,,0.03902439,0.004878049,,,,,,0.088888889
"114",,,,,0.161643836,0.154,,0.208791209,0.091262136,,,,,,0.275728155
"115",,,,,0.131428571,0.035051546,,0.127272727,0.523529412,,,,,,0.307692308
"116",,,,,0.066666667,0.002272727,,0.045454545,0.073394495,,,,,,0.17826087
"117",,,,,0.055,0.124770642,,0.240963855,0.2,,,,,,0.456603774
"118",,,,,0.098305085,0.113846154,,0.334782609,0.058461538,,,,,,0.058823529
"119",,,,,0.114285714,0.014545455,,0.124324324,0.204651163,,,,,,0.541176471
"120",,,,,0.0859375,0.221621622,,0.276470588,0.026530612,,,,,,0.162068965
