"","distance_ 21486","distance_ 21589","distance_ 22223","distance_ 66943","distance_ 67084","distance_ 67246","distance_ 67312","distance_ 67429","distance_ 67501","distance_ 67561","distance_ 68857","distance_ 68929","distance_ 68998","distance_ 69190","distance_ 69214","distance_ 69364","distance_ 69700","distance_ 69757"
"134",27.22222222,52.22222222,36.66666667,45.55555556,35,26.11111111,58.33333333,51.11111111,35,57.22222222,61.11111111,45,21.66666667,58.33333333,42.22222222,39.44444444,30,38.88888889
"135",35,50,53.88888889,36.11111111,40,39.44444444,53.33333333,42.22222222,41.66666667,60.55555556,36.66666667,26.66666667,59.44444444,27.77777778,23.33333333,44.44444444,51.66666667,25
"136",59.44444444,53.33333333,66.11111111,42.22222222,42.77777778,32.22222222,36.11111111,47.22222222,33.88888889,25.55555556,72.77777778,41.11111111,35,56.66666667,43.33333333,53.88888889,67.22222222,36.11111111
"137",30.55555556,75,64.44444444,48.33333333,63.88888889,45,26.66666667,63.88888889,56.11111111,43.88888889,34.44444444,56.11111111,47.77777778,31.11111111,25.55555556,21.66666667,55,58.88888889
"138",35,67.22222222,31.66666667,21.66666667,67.22222222,26.66666667,54.44444444,48.33333333,29.44444444,32.22222222,67.77777778,60,59.44444444,20.55555556,45.55555556,71.11111111,66.66666667,51.11111111
"139",38.33333333,24.44444444,72.77777778,71.66666667,48.33333333,46.66666667,66.11111111,45.55555556,47.22222222,58.33333333,33.88888889,70.55555556,51.11111111,68.88888889,46.11111111,72.22222222,60,74.44444444
"140",58.88888889,55,59.44444444,42.22222222,61.66666667,73.33333333,37.22222222,74.44444444,58.33333333,37.77777778,60.55555556,67.77777778,20,27.22222222,29.44444444,50,20.55555556,29.44444444
"141",39.44444444,41.11111111,73.33333333,36.66666667,53.33333333,44.44444444,45,75,33.33333333,71.66666667,73.88888889,35.55555556,61.66666667,37.77777778,57.22222222,26.66666667,52.22222222,37.22222222
"142",27.77777778,57.22222222,60,31.11111111,26.66666667,31.11111111,28.88888889,71.66666667,67.77777778,33.88888889,44.44444444,58.88888889,72.77777778,26.66666667,66.11111111,32.22222222,64.44444444,39.44444444
"143",42.22222222,51.66666667,32.22222222,68.33333333,67.22222222,71.11111111,55,67.77777778,42.77777778,50.55555556,56.11111111,38.33333333,53.33333333,61.11111111,20.55555556,30.55555556,66.66666667,52.77777778
"144",61.11111111,48.88888889,47.22222222,35.55555556,48.88888889,30.55555556,41.66666667,63.88888889,46.11111111,36.66666667,39.44444444,60,49.44444444,52.22222222,39.44444444,48.88888889,75,25
"145",71.11111111,37.22222222,20,73.88888889,54.44444444,70,66.66666667,48.88888889,65,63.33333333,58.88888889,23.33333333,52.77777778,73.88888889,35.55555556,72.77777778,30.55555556,70
"146",42.77777778,63.88888889,56.66666667,27.22222222,29.44444444,45.55555556,65.55555556,58.88888889,51.11111111,52.22222222,30.55555556,60.55555556,23.33333333,32.77777778,21.11111111,55,60,55.55555556
"147",26.11111111,59.44444444,26.11111111,64.44444444,64.44444444,28.88888889,33.33333333,67.77777778,33.88888889,20.55555556,21.11111111,67.77777778,62.77777778,40.55555556,27.77777778,44.44444444,71.11111111,52.22222222
"148",68.88888889,40,40,65.55555556,20.55555556,71.11111111,72.22222222,50.55555556,34.44444444,22.77777778,51.11111111,25,69.44444444,56.66666667,60,60.55555556,61.66666667,63.33333333
"149",31.66666667,60.55555556,59.44444444,37.22222222,57.77777778,23.33333333,40,31.66666667,48.88888889,33.88888889,68.33333333,51.66666667,75,31.11111111,52.77777778,52.22222222,40.55555556,50.55555556
"150",47.22222222,26.11111111,53.33333333,51.11111111,57.22222222,32.22222222,21.11111111,41.66666667,55.55555556,43.88888889,38.33333333,58.88888889,57.22222222,42.22222222,30.55555556,75,58.88888889,71.11111111
"151",20.55555556,55,66.11111111,73.88888889,70.55555556,30.55555556,55,36.66666667,22.77777778,68.88888889,75,63.33333333,45,35,35.55555556,35.55555556,37.77777778,20.55555556
"152",57.77777778,40,52.77777778,23.88888889,23.88888889,61.66666667,47.77777778,74.44444444,39.44444444,44.44444444,52.77777778,24.44444444,35,67.77777778,70.55555556,38.88888889,68.88888889,65
"153",31.11111111,68.33333333,30,66.66666667,67.22222222,38.88888889,33.88888889,35.55555556,31.11111111,41.66666667,32.77777778,23.33333333,39.44444444,51.66666667,28.33333333,22.22222222,64.44444444,47.77777778
"154",43.33333333,48.88888889,71.11111111,36.11111111,30,41.66666667,20.55555556,22.22222222,64.44444444,48.33333333,27.77777778,32.22222222,40.55555556,67.22222222,29.44444444,37.77777778,35.55555556,48.33333333
"155",67.77777778,36.11111111,53.33333333,26.66666667,31.66666667,20,42.77777778,30.55555556,23.88888889,63.88888889,46.66666667,33.88888889,27.77777778,71.11111111,38.88888889,69.44444444,74.44444444,47.77777778
"156",35.55555556,22.77777778,53.33333333,62.77777778,73.33333333,25.55555556,20.55555556,30.55555556,43.33333333,72.22222222,42.77777778,73.88888889,63.88888889,42.77777778,38.33333333,20,70,43.88888889
