accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,average,logA,,,trial
17.22222222,0.888888889,3,0.222222222,28,7.333333333,37.66666667,1.555555556,,,,,,,,,,11.98611111,1.078678299,,,28
1.333333333,3.888888889,8.333333333,10,1.888888889,17.88888889,29.55555556,5.333333333,,,,,,,,,,9.777777778,0.990240163,,,29
1.444444444,0.111111111,13.33333333,10,12.22222222,5.777777778,74.22222222,4.222222222,,,,,,,,,,15.16666667,1.180890142,,,30
0.111111111,22.55555556,13.55555556,11.22222222,38.55555556,70.88888889,74.55555556,11.88888889,,,,,,,,,,30.41666667,1.483111618,,,31
19.88888889,26.11111111,4.777777778,5.555555556,6.222222222,2.444444444,0.666666667,0,,,,,,,,,,8.208333333,0.914254984,,,32
4.666666667,18.44444444,7.222222222,8.777777778,14.22222222,2.888888889,15.44444444,17.55555556,,,,,,,,,,11.15277778,1.047383049,,,33
5.222222222,6.666666667,7.777777778,6,10.44444444,0.555555556,2.222222222,0.666666667,,,,,,,,,,4.944444444,0.694117502,,,34
2.333333333,1.333333333,5.111111111,7,8.333333333,5,2,1,,,,,,,,,,4.013888889,0.603565346,,,35
11.11111111,14.44444444,10.22222222,7.444444444,3.444444444,4.333333333,13.33333333,9,,,,,,,,,,9.166666665,0.962211439,,,36
16.66666667,23.11111111,11.44444444,22.22222222,9,2,89.44444444,4.888888889,,,,,,,,,,22.34722222,1.349223548,,,37
8.666666667,4.444444444,0.666666667,32.22222222,24.33333333,2.111111111,6.777777778,2.444444444,,,,,,,,,,10.20833333,1.008954843,,,38
0.777777778,19.55555556,2.444444444,5.222222222,9.333333333,12,13.66666667,10,,,,,,,,,,9.125000001,0.960232873,,,39
16.88888889,19.55555556,7.333333333,3.222222222,19.33333333,8.444444444,10.33333333,6.111111111,,,,,,,,,,11.40277778,1.057010661,,,40
4,20.88888889,14.11111111,0,23.66666667,0,5.555555556,3.666666667,,,,,,,,,,8.986111112,0.953571784,,,41
8.777777778,10.44444444,1.555555556,1.777777778,19.44444444,3.666666667,3.888888889,11.88888889,,,,,,,,,,7.680555555,0.885392635,,,42
85.66666667,17.55555556,3.666666667,6.888888889,20,13.44444444,3.555555556,10.33333333,,,,,,,,,,20.13888889,1.304035506,,,43
10.88888889,8,8.555555556,7.111111111,0.111111111,12.33333333,3.555555556,8,,,,,,,,,,7.319444444,0.864478119,,,44
87.66666667,13.88888889,1.444444444,1,3,4.222222222,12.66666667,7.333333333,,,,,,,,,,16.40277778,1.214917401,,,45
13.22222222,16.88888889,8.555555556,4.666666667,5.555555556,13.44444444,20,5.777777778,,,,,,,,,,11.01388889,1.041940691,,,46
8.444444444,14.88888889,8,0.555555556,8.555555556,8.222222222,12,10.88888889,,,,,,,,,,8.944444445,0.951553371,,,47
2.222222222,9,3.777777778,9.222222222,0.777777778,13.22222222,22,12.77777778,,,,,,,,,,9.125,0.960232873,,,48
22.33333333,5.555555556,6.222222222,12.77777778,3.444444444,5,13.88888889,0.555555556,,,,,,,,,,8.722222222,0.940627147,,,49
87.44444444,2.888888889,7.555555556,9,4.222222222,3.555555556,13.88888889,7.222222222,,,,,,,,,,16.97222222,1.229738709,,,50
9,8.888888889,10.55555556,9.666666667,4.666666667,21,16.88888889,10.22222222,,,,,,,,,,11.36111111,1.055420807,,,51
1.555555556,18.33333333,7.333333333,8,17.22222222,1.222222222,16,0.777777778,,,,,,,,,,8.805555555,0.944756761,,,52
1.555555556,23.55555556,2.777777778,5.888888889,4.333333333,2.555555556,4.222222222,7.333333333,,,,,,,,,,6.527777778,0.814765362,,,53
9.888888889,2.777777778,3.777777778,0.111111111,14.11111111,1.666666667,16.33333333,2.444444444,,,,,,,,,,6.388888888,0.805425335,,,54
4.555555556,23.77777778,3.333333333,10.11111111,4.666666667,3.333333333,0.777777778,2.111111111,,,,,,,,,,6.583333334,0.818445845,,,55
7.777777778,5.111111111,3.333333333,0.222222222,1.555555556,7.222222222,8.444444444,9.444444444,,,,,,,,,,5.388888889,0.731499229,,,56
17.55555556,1.333333333,5.222222222,10.11111111,3.555555556,1.777777778,7.333333333,2,,,,,,,,,,6.111111112,0.78612018,,,57
18.11111111,20.55555556,0.111111111,6.888888889,6.222222222,4.444444444,2.666666667,7.111111111,,,,,,,,,,8.263888889,0.917184469,,,58
4.888888889,8.333333333,11.66666667,1.555555556,7.222222222,1.555555556,18.55555556,7.222222222,,,,,,,,,,7.625000001,0.882239848,,,59
1.333333333,9.444444444,3,8.444444444,7.444444444,4.666666667,9.111111111,8.555555556,,,,,,,,,,6.5,0.812913357,,,60
16.66666667,3.333333333,0.666666667,6.666666667,7.777777778,15.44444444,6.666666667,9.222222222,,,,,,,,,,8.305555556,0.919368688,,,61
8.666666667,11.88888889,2,8,1.222222222,3.222222222,1.444444444,4.111111111,,,,,,,,,,5.069444445,0.704960368,,,62
13.44444444,13.77777778,7.111111111,4.222222222,7.666666667,13,1.444444444,8.666666667,,,,,,,,,,8.666666666,0.937852093,,,63
0.888888889,0.222222222,2.888888889,9.777777778,11.66666667,0.777777778,0.555555556,2.555555556,,,,,,,,,,3.666666667,0.564271431,,,64
