"dataTT","ï..consentMouse1.x","consentMouse1.y","consentMouse1.leftButton","consentMouse1.midButton","consentMouse1.rightButton","consentMouse1.clicked_name","consent_Mouse.x","consent_Mouse.y","consent_Mouse.leftButton","consent_Mouse.midButton","consent_Mouse.rightButton","consent_Mouse.clicked_name","startMouse.x","startMouse.y","startMouse.leftButton","startMouse.midButton","startMouse.rightButton","startMouse_2.x","startMouse_2.y","startMouse_2.leftButton","startMouse_2.midButton","startMouse_2.rightButton","start_distance","fixedOri","minimalDistance","maxOri","this_ori","accuracy","presented_accuracy","presented_this_ori","submitMouse.x","submitMouse.y","submitMouse.leftButton","submitMouse.midButton","submitMouse.rightButton","submitMouse.time","submitMouse.clicked_name","pauseMouse.x","pauseMouse.y","pauseMouse.leftButton","pauseMouse.midButton","pauseMouse.rightButton","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","startOri","participant","condition","nTrials","date","expName","psychopyVersion","OS","frameRate","pauseMouse.clicked_name","EndButtonMouse.x","EndButtonMouse.y","EndButtonMouse.leftButton","EndButtonMouse.midButton","EndButtonMouse.rightButton","EndButtonMouse.clicked_name"
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.22222222,64,20,75,58.77777778,5.222222222,5.222222222,-31.22222222,0.205555556,-0.327777778,1,0,0,0.034,"submitButton",-0.254444444,-0.413333333,0,0,0,0,20,20,48,1,64,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.33333333,43,20,75,229.3333333,6.333333333,6.333333333,139.3333333,0.243333333,-0.323333333,1,0,0,0.1,"submitButton",-0.216666667,-0.373333333,0,0,0,0,21,21,27,1,43,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.11111111,-42,20,75,-26.88888889,15.11111111,15.11111111,-116.8888889,0.408888889,-0.305555556,1,0,0,0.033,"submitButton",0.132222222,-0.372222222,0,0,0,0,22,22,26,1,42,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-53.33333333,-34,20,75,-65.33333333,31.33333333,31.33333333,-155.3333333,0.21,-0.325555556,1,0,0,0.283,"submitButton",-0.266666667,-0.405555556,0,0,0,0,23,23,18,1,34,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.11111111,-46,20,75,-217.1111111,8.888888889,8.888888889,-307.1111111,0.358888889,-0.301111111,1,0,0,0.028,"submitButton",0.233333333,-0.378888889,0,0,0,0,24,24,30,1,46,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.88888889,37,20,75,44.88888889,7.888888889,7.888888889,-45.11111111,0.415555556,-0.286666667,1,0,0,0.356,"submitButton",-0.194444444,-0.373333333,0,0,0,0,25,25,21,1,37,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.33333333,-49,20,75,-231.3333333,2.333333333,2.333333333,-321.3333333,0.401111111,-0.311111111,1,0,0,0.099,"submitButton",-0.175555556,-0.427777778,0,0,0,0,26,26,33,1,49,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35,-33,20,75,-226,13,13,-316,0.417777778,-0.294444444,1,0,0,0.067,"submitButton",0.073333333,-0.357777778,0,0,0,0,27,27,17,1,33,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-46.11111111,74,20,75,45.88888889,28.11111111,28.11111111,-44.11111111,0.225555556,-0.272222222,1,0,0,0.184,"submitButton",-0.26,-0.39,0,0,0,0,28,28,58,1,74,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.44444444,-31,20,75,-31.55555556,0.555555556,0.555555556,-121.5555556,0.365555556,-0.295555556,1,0,0,0.063,"submitButton",0.27,-0.396666667,1,0,0,0,29,29,15,1,31,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"pause_continueButton",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-66.66666667,19,20,75,23.33333333,4.333333333,4.333333333,-66.66666667,0.208888889,-0.304444444,1,0,0,0.966,"submitButton",-0.26,-0.395555556,0,0,0,0,30,30,3,1,19,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57.22222222,-67,20,75,-243.2222222,3.777777778,3.777777778,-333.2222222,0.437777778,-0.292222222,1,0,0,0.116,"submitButton",-0.151111111,-0.394444444,0,0,0,0,31,31,51,1,67,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,63,20,75,222,21,21,132,0.192222222,-0.255555556,1,0,0,0.35,"submitButton",-0.258888889,-0.383333333,0,0,0,0,32,32,47,1,63,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.66666667,28,20,75,42.66666667,14.66666667,14.66666667,-47.33333333,0.407777778,-0.29,1,0,0,0.512,"submitButton",-0.26,-0.4,0,0,0,0,33,33,12,1,28,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.33333333,-62,20,75,-70.33333333,8.333333333,8.333333333,-160.3333333,0.176666667,-0.334444444,1,0,0,0.665,"submitButton",0.373333333,-0.365555556,0,0,0,0,34,34,46,1,62,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.55555556,48,20,75,38.44444444,9.555555556,9.555555556,-51.55555556,-0.198888889,-0.431111111,1,0,0,1.166,"submitButton",0.32,-0.406666667,0,0,0,0,35,35,32,1,48,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.88888889,-38,20,75,-57.88888889,19.88888889,19.88888889,-147.8888889,0.192222222,-0.313333333,1,0,0,0.084,"submitButton",0.262222222,-0.302222222,0,0,0,0,36,36,22,1,38,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.88888889,-39,20,75,-60.88888889,21.88888889,21.88888889,-150.8888889,0.175555556,-0.296666667,1,0,0,0.081,"submitButton",0.182222222,-0.308888889,0,0,0,0,37,37,23,1,39,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.55555556,26,20,75,218.5555556,12.55555556,12.55555556,128.5555556,0.204444444,-0.286666667,1,0,0,1.948,"submitButton",-0.218888889,-0.398888889,0,0,0,0,38,38,10,1,26,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.88888889,-55,20,75,-36.11111111,18.88888889,18.88888889,-126.1111111,0.4,-0.305555556,1,0,0,0.082,"submitButton",-0.184444444,-0.422222222,0,0,0,0,39,39,39,1,55,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.66666667,47,20,75,41.33333333,5.666666667,5.666666667,-48.66666667,-0.205555556,-0.41,1,0,0,0.9,"submitButton",-0.205555556,-0.41,0,0,0,0,40,40,31,1,47,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.77777778,-53,20,75,-50.22222222,2.777777778,2.777777778,-140.2222222,-0.12,-0.395555556,1,0,0,0.55,"submitButton",-0.12,-0.395555556,0,0,0,0,41,41,37,1,53,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.55555556,-29,20,75,-31.55555556,2.555555556,2.555555556,-121.5555556,0.14,-0.32,1,0,0,0.716,"submitButton",-0.136666667,-0.413333333,0,0,0,0,42,42,13,1,29,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.44444444,-59,20,75,-220.4444444,18.55555556,18.55555556,-310.4444444,0.363333333,-0.304444444,1,0,0,0.383,"submitButton",0.141111111,-0.325555556,0,0,0,0,43,43,43,1,59,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"",NA,NA,NA,NA,NA,""
"./67276_orientation_adjustment_1_2022-02-10_12h43.07.145.csv",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.33333333,-22,20,75,-41.33333333,19.33333333,19.33333333,-131.3333333,-0.134444444,-0.427777778,1,0,0,0.973,"submitButton",0.313333333,-0.394444444,1,0,0,0,44,44,6,1,22,67276,1,180,"2022-02-10_12h43.07.145","orientation adjustment 1","2021.2.3","MacIntel",58.82352941,"pause_continueButton",NA,NA,NA,NA,NA,""
