trial,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,,,average,logA,trial
148,15.44444444,22.66666667,9.666666667,1,4.222222222,6.111111111,,,,,,,,,,,,9.851851852,0.993517872,148
149,0.333333333,12.33333333,11.77777778,3.555555556,9.111111111,5.666666667,,,,,,,,,,,,7.12962963,0.85306697,149
150,6.111111111,5.444444444,14.22222222,6.333333333,13.11111111,6.777777778,,,,,,,,,,,,8.666666666,0.937852093,150
151,7.333333333,32.77777778,52.11111111,12.44444444,5.333333333,1.444444444,,,,,,,,,,,,18.57407407,1.268907173,151
152,17.66666667,8.777777778,4.444444444,1.111111111,4.111111111,1,,,,,,,,,,,,6.185185186,0.791352707,152
153,17.55555556,3.777777778,13.22222222,12,0,3.222222222,,,,,,,,,,,,8.296296297,0.918884254,153
154,1.222222222,10.66666667,10,3,17,5,,,,,,,,,,,,7.814814815,0.892918691,154
155,12.33333333,9.888888889,8.333333333,9.666666667,3.444444444,8.222222222,,,,,,,,,,,,8.648148148,0.936923121,155
156,6.222222222,16.88888889,7.222222222,6.555555556,3.666666667,13.88888889,,,,,,,,,,,,9.074074075,0.95780232,156
157,14.22222222,3.111111111,1.222222222,1.777777778,13.33333333,6.666666667,,,,,,,,,,,,6.722222221,0.827512865,157
158,43.22222222,1.555555556,0.333333333,11.77777778,2.444444444,1.444444444,,,,,,,,,,,,10.12962963,1.005593567,158
159,11.33333333,76.22222222,4.555555556,23.22222222,13.44444444,6,,,,,,,,,,,,22.46296296,1.351467041,159
160,11.77777778,4.444444444,0.888888889,14.88888889,3.333333333,2,,,,,,,,,,,,6.222222223,0.793945518,160
161,5.333333333,1.111111111,9.777777778,4.777777778,5.666666667,2.888888889,,,,,,,,,,,,4.925925926,0.692487877,161
162,1.111111111,0.222222222,3.111111111,10,6.777777778,5.222222222,,,,,,,,,,,,4.407407407,0.644183197,162
163,9.222222222,1.222222222,6.222222222,1.444444444,23.11111111,3.444444444,,,,,,,,,,,,7.444444444,0.871832293,163
164,25,12.77777778,0.666666667,0.555555556,2.111111111,0.666666667,,,,,,,,,,,,6.962962964,0.842794085,164
165,28.11111111,5.444444444,0.222222222,2.777777778,9.777777778,4.888888889,,,,,,,,,,,,8.537037037,0.931307166,165
166,23.44444444,46.66666667,4,11.77777778,9.444444444,8.555555556,,,,,,,,,,,,17.31481482,1.238417851,166
167,5.666666667,11,21.11111111,10.11111111,8.555555556,15.66666667,,,,,,,,,,,,12.01851852,1.079850937,167
168,34.11111111,0.777777778,0.888888889,9.333333333,11.11111111,5.333333333,,,,,,,,,,,,10.25925926,1.011116005,168
169,16.44444444,10.77777778,0.666666667,6.666666667,1.333333333,3.666666667,,,,,,,,,,,,6.592592592,0.819056238,169
170,2.888888889,8.333333333,18.66666667,10.22222222,14.22222222,2.111111111,,,,,,,,,,,,9.407407407,0.973469952,170
171,15.66666667,0.111111111,8,22.55555556,0.888888889,3.555555556,,,,,,,,,,,,8.462962964,0.92752244,171
172,16.66666667,10.33333333,15.11111111,0.111111111,12.33333333,16,,,,,,,,,,,,11.75925926,1.070379965,172
173,0.777777778,9.888888889,2.111111111,0.111111111,5.111111111,4.666666667,,,,,,,,,,,,3.777777778,0.577236408,173
174,22.11111111,14.55555556,0.777777778,10.33333333,7.666666667,1.888888889,,,,,,,,,,,,9.555555556,0.980255942,174
175,12.55555556,10.55555556,26.44444444,19.22222222,2,7.444444444,,,,,,,,,,,,13.03703704,1.115178899,175
176,37.22222222,2.777777778,1.333333333,7.777777778,9.222222222,5.777777778,,,,,,,,,,,,10.68518518,1.028782053,176
177,14.77777778,13.55555556,1.444444444,5.222222222,6.555555556,2.444444444,,,,,,,,,,,,7.333333334,0.865301426,177
178,10.77777778,11.88888889,18,5.555555556,3.222222222,1.111111111,,,,,,,,,,,,8.425925927,0.925617637,178
179,29.55555556,12.55555556,5.111111111,7.777777778,3.111111111,2.777777778,,,,,,,,,,,,10.14814815,1.006386799,179
180,10.77777778,22.88888889,9.666666667,22,7.111111111,7.666666667,,,,,,,,,,,,13.35185185,1.125541505,180
