accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,average,logA,trial
12.11111111,6.777777778,4.777777778,7,17.11111111,12.77777778,,,,,,,,,,10.09259259,1.004002742,25
13.44444444,7.333333333,2.777777778,3.111111111,0.777777778,9.666666667,,,,,,,,,,6.185185185,0.791352707,26
5.666666667,0.333333333,18.11111111,4.222222222,2.888888889,11.44444444,,,,,,,,,,7.11111111,0.851937464,27
3.222222222,6.111111111,0.777777778,0.777777778,3,3.111111111,,,,,,,,,,2.833333333,0.452297671,28
12.88888889,15.77777778,3.777777778,15.88888889,18.77777778,6.444444444,,,,,,,,,,12.25925926,1.08846423,29
16.11111111,7.333333333,5.111111111,2.555555556,8.888888889,6.333333333,,,,,,,,,,7.722222222,0.887742295,30
0.666666667,4,12.44444444,16.44444444,3.444444444,37.55555556,,,,,,,,,,12.42592593,1.09432876,31
2.666666667,9.444444444,7.888888889,5.777777778,4.444444444,4.666666667,,,,,,,,,,5.814814815,0.764535888,32
3.222222222,3.555555556,6.111111111,3.111111111,22.33333333,3,,,,,,,,,,6.888888888,0.83814918,33
10.44444444,14,1.222222222,6.111111111,2.222222222,13.33333333,,,,,,,,,,7.888888888,0.897015839,34
8.666666667,4.888888889,2.777777778,5.111111111,10.88888889,3.222222222,,,,,,,,,,5.925925926,0.772756219,35
1.666666667,3.222222222,3.222222222,1.555555556,4.444444444,3.777777778,,,,,,,,,,2.981481482,0.474432116,36
11.66666667,2.444444444,20.22222222,9.666666667,6.555555556,8.111111111,,,,,,,,,,9.777777778,0.990240163,37
8.777777778,3.666666667,13.22222222,1.444444444,4.888888889,12,,,,,,,,,,7.333333333,0.865301426,38
2,17,3,2.777777778,10.77777778,4,,,,,,,,,,6.592592593,0.819056238,39
2,9,10.11111111,9.444444444,13.22222222,0.555555556,,,,,,,,,,7.388888888,0.868579136,40
16.44444444,9.444444444,0.444444444,5.111111111,6.666666667,4.444444444,,,,,,,,,,7.092592592,0.850805014,41
13.88888889,9.777777778,2,6.444444444,5.888888889,3.444444444,,,,,,,,,,6.907407408,0.839315072,42
