"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14","lp.15","lp.16","lp.17","lp.18","lp.19"
"52",,0.147368421,0.204651163,2.5,0.203846154,0.263636364,,,0.260714286,,0.346902655,,0.216129032,0.182857143,0.055769231,0.182089552,0.29,0.060869565,0.171428571,0.421052631
"53",,0.110344828,0.46,0.181818182,0.196428571,0.124770642,,,0.126470588,,0.778461538,,0.3,0.427272727,0.068235294,0.024615385,0.174736842,0.014084507,0.1,0.531034483
"54",,0.01,0.025806452,0.298360656,0.129032258,0.190551181,,,0.055737705,,0.294117647,,1.644897959,0.051351351,0.1,0.8,0.129032258,0.034042553,0.35,0.05
"55",,0.458064516,0.084210526,0.121311475,0.263636364,0.071875,,,0.091891892,,0.089655172,,0.1,0.4,0.750769231,0.382142857,0.492682927,0.140594059,0.06779661,0.422222222
"56",,0.087671233,0.076521739,0.891525424,0.02556391,0.107826087,,,0.18630137,,0.112195122,,0.462686567,0.187096774,0.333333333,0.254098361,0.172972973,0.008791209,0.26744186,0.368
"57",,0.032,0.084090909,0.052830189,0.117647059,0.3625,,,0.024137931,,0.00733945,,0.55,0.069491525,0.02,0.8,0.058139535,0.221428571,0.133333333,0.01
"58",,0.348275862,0.0125,0.173033708,0.1,0.04,,,0.173469388,,0.100970874,,0.64,0.22,0.495121951,0.288235294,0.353125,0.098,0.270588235,0.416901408
"59",,0.098947368,0.196428571,0.022727273,0.236956522,0.150943396,,,0.262,,0.265306122,,0.159322034,0.1925,0.007692308,0.494915254,0.024137931,0.107563025,0.17,0.136
"60",,0.0859375,0.289473684,0.8,0.109090909,0.108737864,,,0.367567568,,0.2,,0.012903226,0.006779661,0.167567568,1.350847458,0.174576271,0.776,0.215384615,0.01
"61",,0.630769231,0.300970874,0.753846154,0.28,0.325,,,0.28,,0.085714286,,1,0.415584416,0.016666667,0.068292683,0.252173913,0.133333333,0.228571429,1.141732283
"62",,1.013953488,0.030769231,0.163636364,0.003846154,0.051351351,,,0.172,,0.290909091,,0.41971831,0.153846154,0.073076923,0.172413793,0.212244898,0.028571429,0.323076923,0.041935484
"63",,0.759090909,0.034146341,0.430379747,0.05,0.208,,,0.209756098,,0.389473684,,0.449411765,0.315384615,0.385365854,0.252941176,0.072727273,0.225862069,0.07027027,0.005263158
"64",,0.829032258,0.025688073,0.381818182,0.12231405,0.3232,,,0.3808,,0.018181818,,0.539534884,0.4544,0.2828125,0.088709677,0.222641509,0.159090909,0.23255814,0.130232558
"65",,1.920930233,0.076470588,0.303448276,0.314285714,0.061538462,,,0.357142857,,0.091803279,,1,0.006896552,0.28,0.010526316,0.133333333,0.118918919,0.576470588,0.076923077
"66",,0.953191489,0.241322314,0.01,0.325,0.162376238,,,0.367567568,,0.232876712,,0.157142857,0.315702479,0.2575,0.021621622,0.048571429,0.021153846,0.426415095,0.1
"67",,2.2,0.253658537,0.022222222,0.181818182,0.083333333,,,0.04,,0.570212766,,0.228571429,0.262295082,0.25,0.352,0.147058824,1.45,0.0125,0.232786885
"68",,1,0.276785714,1,0.707692307,0.148648649,,,0.317241379,,0.127272727,,0.18019802,0.120300752,0.005194805,0.26,0.008163265,0.090909091,0.26875,0.128813559
"69",,1.34,0.013592233,0.039097744,0.183333333,0.72,,,0.472,,0.1,,0.17443609,0.123308271,0.276744186,0.145,0.065116279,1.090322581,0.034328358,0.161818182
"70",,2.234375,0.297142857,0.214893617,0.169230769,0.128,,,0.042105263,,0.049438202,,0.07804878,0.131428571,0.06,0.080851064,0.091588785,0.119327731,0.310638298,0.071428571
"71",,0.354716981,0.203053435,0.103225806,0.187804878,0.584615385,,,0.208,,0.018867925,,0.307692308,0.355,0.040366972,0.063636364,0.035,0.488,0.116,0.01
"72",,0.677966102,0.204210526,1.035384615,0.113636364,0.15625,,,0.503448276,,0.4,,0.283333333,0.44,0.041935484,0.24137931,0.217391304,0.169230769,0.608695652,0.069662921
"73",,0.555555556,0.037209302,0.675,0.051162791,0.135433071,,,0.133834586,,0.298734177,,0.076106195,0.325,0.093457944,0.141284404,0.183193277,0.189189189,0.262650602,0.125
"74",,1.984375,0.142056075,0.625,0.076923077,0.012389381,,,0.52244898,,0.373913043,,0.110638298,0.266666667,0.62739726,0.047058824,0.019402985,0.089156627,0.044274809,0.4375
"75",,1,0.0015625,0.363076923,0.082,0.206382979,,,0.668421053,,0.256198347,,0.063013699,0.751351351,0.388679245,0.033663366,0.111688312,0.408695652,0.2,0.434375
"76",,0.741304348,,,0.2656,0.333333333,,,0.221621622,,1.230088495,,1,0.432876712,0.142857143,,0.219354839,0.097560976,0.185714286,0.155752212
"77",,0.8,,,0.125,0.454545455,,,0.055737705,,0.044897959,,0.463157895,0.089655172,0.28,,0.183505155,0.07394958,0.66440678,0.066666667
"78",,0.917241379,,,0.121311475,0.008474576,,,0.18,,0.14,,0.52,0.40625,0.202061856,,0.193478261,0.043697479,0.473846154,0.156962025
"79",,0.569230769,,,0.123478261,0.066666667,,,0.688,,0.12,,0.386666667,1.925,0.015625,,0.422641509,0.457534247,0.28,0.13258427
"80",,0.146153846,,,0.617021277,0.485714286,,,0.309090909,,0.482352941,,0.372727273,0.28,0.031067961,,0.1,0.109090909,0.589473684,0.4
