"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14","lp.15","lp.16","lp.17"
"87",0.163380282,0.275,,0.390322581,0.056198347,,,,,0.2528,0.028571429,,,0.072340426,0.444736842,0.361290322,,0.380645161
"88",0.08,0.063636364,,0.047058824,0.154716981,,,,,0.86,0.157798165,,,0.05,0.425862069,0.030769231,,0.428571429
"89",0.018181818,0.076106195,,0.385365854,0.98,,,,,0.53,0.17443609,,,0.08,0.127272727,0.33125,,0.172093023
"90",0.030769231,0.756097561,,0.332692308,0.094117647,,,,,0.026229508,0.122077922,,,0.164285714,0.151923077,1.370588235,,0.235294118
"91",0.048780488,0.111111111,,0.621052632,0.36097561,,,,,0.773913044,0.458536585,,,0.01,0.34939759,0.357142857,,0.086363636
"92",0.052631579,0.024299065,,0.12,0.224390244,,,,,0.728947369,0.463829787,,,0.5,1.370093458,0.017391304,,0.2
"93",0.2,1.20212766,,0.229268293,0.0325,,,,,0.028571429,0.55,,,0.218867925,0.090909091,0.283333333,,0.396551724
"94",0.220472441,0.379220779,,0.491304348,0.127272727,,,,,0.073684211,0.065822785,,,0.618823529,0.478947368,1.332173913,,0.27027027
"95",0.536585366,0.04,,0.294594595,0.159322034,,,,,0.097560976,0.219277108,,,0.126865672,0.435294118,0.094845361,,0.015037594
"96",0.064347826,0.145454545,,0.041121495,0.00625,,,,,0.211538461,0.0296875,,,0.350819672,0.307692308,0.255172414,,0.058823529
"97",0.113157895,0.35505618,,0.052830189,0.120930233,,,,,1.439473684,0.013913043,,,0.002531646,1.370731707,0.373195876,,0.2828125
"98",0.215841584,0.125,,0.064,0.330434783,,,,,0.212631579,0.018181818,,,0.003278689,0.574545455,0.54,,0.301538462
"99",0.15,0.084615385,,0.196428571,0.036363636,,,,,0.466666667,0.088372093,,,0.134246575,0.368085106,0.2125,,0.25
"100",0.294117647,0.145454545,,0.104545455,0.307692308,,,,,0.020253165,0.185263158,,,0.067256637,0.3640625,0.026229508,,1
"101",0.384210526,0.016129032,,0.025,0.12195122,,,,,0.183333333,0.1,,,0.312727273,0.117307692,0.082352941,,0.395
"102",0.056198347,0.146774194,,0.18490566,0.109589041,,,,,0.172972973,0.092857143,,,0.112676056,0.168421053,0.139823009,,0.575
"103",0.075229358,0.169072165,,0.262857143,0.261538462,,,,,0.028571429,0.079069767,,,0.234883721,0.285714286,0.152808989,,0.5375
"104",0.307692308,0.222222222,,0.1,0.188,,,,,0.142307692,0.016,,,0.24,0.506976744,1.131034483,,0.370454545
"105",0.128813559,0.006299213,,0.139130435,0.099236641,,,,,0.244274809,0.444117647,,,0.478947368,0.4,0.035,,0.18372093
"106",0.1,0.06746988,,0.018181818,,,,,,0.327472528,0.033333333,,,0.106024096,0.336842105,0.226548673,,0.066165414
"107",0.01,0.188679245,,0.433333333,,,,,,0.149450549,0.264864865,,,0.086486486,0.553846154,0.585714286,,0.148571429
"108",0.059090909,0.117647059,,0.243478261,,,,,,0.090384615,0.209756098,,,0.015384615,0.216129032,2.555932203,,0.189565217
"109",0.149230769,0.285714286,,0.005714286,,,,,,0.018867925,0.4,,,0.3,0.231578947,0.014893617,,0.333333333
"110",0.52,0.15625,,0.070967742,,,,,,0.327272727,0.01,,,0.093333333,0.2375,0.303225806,,0.011570248
"111",0.206818182,0.1025,,0.312941177,,,,,,0.55,0.099236641,,,0.1,0.046938776,0.132142857,,0.134177215
"112",0.296,0.037837838,,0.065384615,,,,,,0.464,0.352631579,,,0.44,0.190322581,0.140540541,,0.124324324
"113",0.109774436,0.070967742,,0.18372093,,,,,,0.073684211,0.207142857,,,0.024615385,0.244,0.524137931,,0.036363636
"114",0.333333333,0.143925234,,0.162068966,,,,,,0.35,0.52,,,0.097142857,0.150943396,0.298305085,,0.022857143
"115",0.559183673,0.04516129,,0.156756757,,,,,,0.205825243,0.045454545,,,0.027027027,0.579220779,1.56,,0.175510204
"116",0.2375,0.055172414,,0.210526316,,,,,,0.021621622,0.17826087,,,0.146902655,0.216129032,0.668292683,,0.012903226
"117",0.216793893,0.204651163,,0.596551724,,,,,,0.08,0.4,,,0.012903226,0.032786885,1.394,,0.7
"118",0.022857143,0.08,,0.08,,,,,,0.22,0.192523364,,,0.067272727,0.062184874,0.35,,0.022727273
"119",0.26,0.068292683,,0.216129032,,,,,,0.281081081,0.315492958,,,0.048543689,0.488,3.134883721,,1
"120",0.144554455,0.069565217,,0.417647059,,,,,,0.377777778,0.132142857,,,0.04,0.228571429,0.175700935,,0.35890411
"121",0.582608696,,,0.042105263,,,,,,1,0.332258064,,,,0.331707317,0.281818182,,1.909589041
"122",0.015841584,,,0.129032258,,,,,,0.184375,0.233663366,,,,0.308928571,0.409638554,,0.02
"123",0.147252747,,,0.009090909,,,,,,0.095652174,0.435135135,,,,0.554545454,0.344578313,,0.220689655
"124",0.089473684,,,0.255172414,,,,,,0.275,0.014545455,,,,0.050909091,1.704347826,,0.166666667
"125",0.092682927,,,0.313402062,,,,,,0.01,0.206818182,,,,0.373913043,0.178947368,,0.482352941
"126",0.1,,,0.01,,,,,,0.047058824,0.378125,,,,0.457534247,1.557894737,,0.084482759
"127",0.022857143,,,0.213793103,,,,,,0.010526316,0.12,,,,1.223529412,0.010989011,,0.371428571
"128",0.045714286,,,0.757692308,,,,,,0.125233645,0.144262295,,,,0.48,0.018867925,,0.163076923
"129",0.292134831,,,0.1,,,,,,0.353125,0.093333333,,,,0.091588785,2.244117647,,0.221428571
"130",0.421052631,,,0.042105263,,,,,,0.08,0.001612903,,,,0.235616438,0.791304348,,0.311627907
"131",0.05,,,0.157142857,,,,,,0.373684211,0.127710843,,,,0.144262295,0.419834711,,0.008695652
"132",0.137190083,,,0.05,,,,,,0.042105263,0.55,,,,0.737931035,0.108256881,,0.18372093
"133",0.3275,,,0.022727273,,,,,,0.1,0.541509434,,,,0.660377358,0.004651163,,0.1025
"134",0.102040816,,,0.236956522,,,,,,0.267605634,0.133333333,,,,1.412765958,4.138461538,,0.182857143
"135",0.085714286,,,0.052631579,,,,,,0.37,0.148387097,,,,0.290140845,0.076635514,,0.44375
"136",,,,,,,,,,0.27628866,0.383471074,,,,0.255172414,0.857142857,,0.052307692
"137",,,,,,,,,,0.076923077,0.254545455,,,,0.466666667,0.351162791,,1
"138",,,,,,,,,,0.0125,0.295,,,,0.0625,0.007476636,,0.13877551
"139",,,,,,,,,,0.1,0.15,,,,0.542857143,0.1,,0.016806723
"140",,,,,,,,,,0.08,0.318918919,,,,0.372727273,0.3,,0.047761194
"141",,,,,,,,,,0.0625,0.061702128,,,,0.28,0.232432432,,0.244444444
"142",,,,,,,,,,0.148275862,0.022413793,,,,1.996428571,0.195419847,,0.169230769
"143",,,,,,,,,,0.112727273,0.065,,,,0.0546875,0.2875,,0.127272727
"144",,,,,,,,,,0.120454545,0.106666667,,,,0.116363636,0.314606742,,0.44
"145",,,,,,,,,,0.154198473,0.345454546,,,,0.014285714,0.052631579,,0.235
"146",,,,,,,,,,0.218181818,0.016666667,,,,0.341463415,0.442857143,,0.206779661
"147",,,,,,,,,,0.0775,0.1421875,,,,0.446153846,0.474336283,,0.29
"148",,,,,,,,,,0.190825688,0.037837838,,,,0.2546875,0.2944,,0.016923077
"149",,,,,,,,,,0.091489362,0.654794521,,,,0.271428571,0.293333333,,0.525
"150",,,,,,,,,,0.12,0.524528302,,,,1.372413793,0.126213592,,0.847368421
"151",,,,,,,,,,,0.602941176,,,,0.050909091,0.177777778,,0.254545455
"152",,,,,,,,,,,0.24516129,,,,0.216216216,0.628571429,,0.079069767
"153",,,,,,,,,,,0.024137931,,,,0.46,1.814084507,,0.209836066
"154",,,,,,,,,,,0.465625,,,,0.344,0.084931507,,0.124324324
"155",,,,,,,,,,,0.032835821,,,,0.3,3.052,,0.192207792
"156",,,,,,,,,,,0.01,,,,0.878260869,0.048695652,,0.172972973
"157",,,,,,,,,,,0.224615385,,,,0.246153846,0.224742268,,0.167567568
"158",,,,,,,,,,,0.442857143,,,,0.02,0.242105263,,0.210958904
"159",,,,,,,,,,,0.110638298,,,,0.198019802,0.447727273,,0.252307692
"160",,,,,,,,,,,0.181818182,,,,0.112195122,1.6,,0.065384615
"161",,,,,,,,,,,0.227272727,,,,0.152941176,0.109774436,,0.101176471
"162",,,,,,,,,,,0.369072165,,,,0.058823529,0.342372881,,0.072340426
"163",,,,,,,,,,,0.407594937,,,,0.125,0.165454545,,0.147826087
"164",,,,,,,,,,,0.018181818,,,,0.192523364,0.740909091,,0.163779528
"165",,,,,,,,,,,0.213445378,,,,0.040366972,0.55,,0.006299213
"166",,,,,,,,,,,0.1953125,,,,,0.223529412,,
"167",,,,,,,,,,,0.112,,,,,0.125,,
"168",,,,,,,,,,,0.274193548,,,,,0.010526316,,
"169",,,,,,,,,,,0.126717557,,,,,0.374545454,,
"170",,,,,,,,,,,0.210344828,,,,,0.24516129,,
"171",,,,,,,,,,,0.157142857,,,,,0.336842105,,
"172",,,,,,,,,,,0.032835821,,,,,0.442253521,,
"173",,,,,,,,,,,0.154545455,,,,,0.148214286,,
"174",,,,,,,,,,,0.010204082,,,,,0.4,,
"175",,,,,,,,,,,0.297142857,,,,,0.005970149,,
"176",,,,,,,,,,,0.230534351,,,,,0.035714286,,
"177",,,,,,,,,,,0.08,,,,,0.1088,,
"178",,,,,,,,,,,0.352,,,,,0.04,,
"179",,,,,,,,,,,0.016666667,,,,,0.181818182,,
"180",,,,,,,,,,,0.181818182,,,,,0.132142857,,
