"","lp","lp.1","lp.2","lp.3","lp.4","lp.5","lp.6","lp.7","lp.8","lp.9","lp.10","lp.11","lp.12","lp.13","lp.14","lp.15","lp.16","lp.17"
"39",0.004651163,0.211881188,0.072727273,0.084337349,0.702912621,0.031818182,0.022222222,0.105263158,0.053846154,0.431578947,0.2,0.216216216,0.375609756,0.216901408,0.042553191,0.4,0.085,0.008163265
"40",0.168831169,0.191891892,0.175700935,0.197590361,0.640707965,0.00173913,0.595,0.13,0.04,0.01,0.129787234,0.004651163,0.026666667,0.469387755,0.268852459,0.39245283,0.231707317,0.053333333
"41",0.210084034,0.126717557,0.566666667,0.252830189,1.26849315,0.152941176,2.050847457,0.1,0.108108108,0.175572519,0.086206897,0.010204082,0.135714286,0.212244898,0.0496,0.244,0.129032258,0.456363636
"42",0.386486487,0.315384615,0.226666667,0.446153846,0.730841121,0.075675676,0.061538462,0.1,0.075675676,0.14,0.319512195,0.0125,0.55,0.333333333,0.1,0.092307692,0.496,0.094117647
"43",0.254545455,0.165454545,0.07704918,0.2125,1.018367347,0.032835821,1.516326531,0.226315789,0.162068966,1.421621622,0.003539823,0.294736842,0.04,0.153125,0.053333333,0.145,0.057142857,0.019642857
"44",0.276470588,0.08,0.022727273,0.124324324,0.61,0.191304348,0.87826087,0.311864407,0.039655172,0.266666667,0.133333333,0.155963303,0.443636364,0.030769231,0.12,0.8,0.136,0.086206897
"45",1.344537815,0.472413793,0.116981132,0.036363636,0.26875,0.150561798,1.670967742,0.005970149,0.107692308,0.514285714,0.410909091,0.320754717,0.095652174,0.08,0.17826087,0.492307692,0.037931034,0.086792453
"46",0.251219512,0.252542373,,,0.042105263,0.238709677,1.509615385,,0.006451613,0.119148936,0.273076923,0.1,0.218421053,0.125,0.220895522,0.137931034,0.166666667,
"47",0.430769231,0.145454545,,,0.062295082,0.03539823,1.2,,0.0125,0.032786885,0.123478261,0.021621622,0.250381679,0.228571429,0.371428571,0.188235294,0.054545455,
"48",0.231067961,0.161290323,,,0.134782609,0.042553191,2.69,,0.260714286,0.004255319,0.676923077,0.08988764,0.616393443,0.045454545,0.127835052,0.326717557,0.180327869,
"49",0.298305085,0.182857143,,,0.11,0.189285714,1.808,,0.024299065,0.256603774,0.040625,0.305263158,0.1,0.35,0.116071429,0.26,0.183505155,
"50",0.020895522,0.184210526,,,0.273394495,0.038167939,0.273846154,,0.063636364,0.264864865,0.090140845,0.24516129,0.531914894,0.224,0.102702703,0.046153846,0.320754717,
