accuracy,accuracy,accuracy,,,,,,,,,,,,average,logA,,,trial
0.222222222,3.111111111,0.666666667,,,,,,,,,,,,1.333333333,0.124938737,,,97
1.555555556,12.55555556,5.222222222,,,,,,,,,,,,6.444444446,0.809185484,,,98
0.666666667,6.111111111,10.55555556,,,,,,,,,,,,5.777777779,0.761760834,,,99
12.88888889,15.11111111,7.555555556,,,,,,,,,,,,11.85185185,1.073786214,,,100
10.11111111,5.111111111,21.44444444,,,,,,,,,,,,12.22222222,1.087150176,,,101
3,13.11111111,3.111111111,,,,,,,,,,,,6.407407407,0.806682339,,,102
6,12.77777778,8.888888889,,,,,,,,,,,,9.222222223,0.964835583,,,103
1.666666667,13.22222222,3.333333333,,,,,,,,,,,,6.074074073,0.783480084,,,104
1,1.888888889,8.555555556,,,,,,,,,,,,3.814814815,0.581473461,,,105
9.777777778,4.555555556,7.777777778,,,,,,,,,,,,7.370370371,0.867489312,,,106
5,6,4.666666667,,,,,,,,,,,,5.222222222,0.717855349,,,107
9.333333333,21,13.44444444,,,,,,,,,,,,14.59259259,1.164132458,,,108
4,14.88888889,26,,,,,,,,,,,,14.96296296,1.175017601,,,109
7,0.666666667,4.555555556,,,,,,,,,,,,4.074074074,0.610028921,,,110
4,13,8.111111111,,,,,,,,,,,,8.37037037,0.922744675,,,111
3.333333333,2.111111111,2.666666667,,,,,,,,,,,,2.703703704,0.431959096,,,112
16.33333333,16.77777778,1.555555556,,,,,,,,,,,,11.55555556,1.06279083,,,113
2.555555556,1.555555556,11.88888889,,,,,,,,,,,,5.333333334,0.726998728,,,114
2.222222222,1.555555556,11.22222222,,,,,,,,,,,,4.999999999,0.698970004,,,115
1,0.666666667,2.888888889,,,,,,,,,,,,1.518518519,0.181420093,,,116
1.333333333,3.777777778,4.666666667,,,,,,,,,,,,3.259259259,0.513118908,,,117
15.66666667,9.444444444,3.666666667,,,,,,,,,,,,9.592592594,0.981936,,,118
13,0.222222222,6,,,,,,,,,,,,6.407407407,0.806682339,,,119
3.888888889,8.555555556,4.666666667,,,,,,,,,,,,5.703703704,0.756156957,,,120
25.33333333,11.77777778,7.777777778,,,,,,,,,,,,14.96296296,1.175017601,,,121
19.55555556,3,8.333333333,,,,,,,,,,,,10.2962963,1.012681032,,,122
2.111111111,4.777777778,1.444444444,,,,,,,,,,,,2.777777778,0.443697499,,,123
21.55555556,9.555555556,9.555555556,,,,,,,,,,,,13.55555556,1.132117321,,,124
18.88888889,5.111111111,1.111111111,,,,,,,,,,,,8.370370371,0.922744675,,,125
18.55555556,8.777777778,1.666666667,,,,,,,,,,,,9.666666668,0.985276743,,,126
17.22222222,6.777777778,5.444444444,,,,,,,,,,,,9.814814814,0.99188211,,,127
5,17,2.222222222,,,,,,,,,,,,8.074074074,0.907092729,,,128
8.555555556,2.777777778,0.555555556,,,,,,,,,,,,3.962962963,0.598020014,,,129
5.111111111,18.22222222,1.555555556,,,,,,,,,,,,8.296296296,0.918884254,,,130
2.555555556,3.111111111,6.333333333,,,,,,,,,,,,4,0.602059991,,,131
19.44444444,8.777777778,3.444444444,,,,,,,,,,,,10.55555555,1.023481096,,,132
8.222222222,9.444444444,10,,,,,,,,,,,,9.222222222,0.964835583,,,133
18.44444444,2.444444444,20.44444444,,,,,,,,,,,,13.77777777,1.139179176,,,134
12.88888889,14.88888889,0.666666667,,,,,,,,,,,,9.481481482,0.976876201,,,135
15.66666667,7.333333333,3.111111111,,,,,,,,,,,,8.703703705,0.939704098,,,136
0.444444444,14.33333333,5.333333333,,,,,,,,,,,,6.703703702,0.826314811,,,137
3.444444444,3.111111111,7.444444444,,,,,,,,,,,,4.666666666,0.669006781,,,138
19.66666667,5.555555556,8.444444444,,,,,,,,,,,,11.22222222,1.050078864,,,139
2.444444444,13.88888889,4.222222222,,,,,,,,,,,,6.851851852,0.835807964,,,140
88.66666667,13,0.444444444,,,,,,,,,,,,34.03703704,1.531951747,,,141
13.44444444,3.555555556,8.555555556,,,,,,,,,,,,8.518518517,0.930364072,,,142
12.33333333,1,0.888888889,,,,,,,,,,,,4.74074074,0.675846205,,,143
19.77777778,23,3.444444444,,,,,,,,,,,,15.40740741,1.187729566,,,144
5.666666667,9,2.777777778,,,,,,,,,,,,5.814814815,0.764535888,,,145
7,12.66666667,0.555555556,,,,,,,,,,,,6.740740742,0.828707624,,,146
8.333333333,10.88888889,0.777777778,,,,,,,,,,,,6.666666667,0.823908741,,,147
4.888888889,14.66666667,7.111111111,,,,,,,,,,,,8.88888889,0.948847478,,,148
6.555555556,7,5.222222222,,,,,,,,,,,,6.259259259,0.79652294,,,149
10.44444444,12,7,,,,,,,,,,,,9.814814813,0.99188211,,,150
