consentMouse1.x,consentMouse1.y,consentMouse1.leftButton,consentMouse1.midButton,consentMouse1.rightButton,consentMouse1.clicked_name,consent_Mouse.x,consent_Mouse.y,consent_Mouse.leftButton,consent_Mouse.midButton,consent_Mouse.rightButton,consent_Mouse.clicked_name,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,start_distance,fixedOri,minimalDistance,maxOri,this_ori,accuracy,presented_accuracy,submitMouse.x,submitMouse.y,submitMouse.leftButton,submitMouse.midButton,submitMouse.rightButton,submitMouse.time,submitMouse.clicked_name,block_accuracy,continueMouse.x,continueMouse.y,continueMouse.leftButton,continueMouse.midButton,continueMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,startOri,participant,condition,nTrials,date,expName,psychopyVersion,OS,frameRate,continueMouse.clicked_name,EndButtonMouse.x,EndButtonMouse.y,EndButtonMouse.leftButton,EndButtonMouse.midButton,EndButtonMouse.rightButton,EndButtonMouse.clicked_name
,,,,,,,,,,,,,,,,,35,-46,20,75,-49,3,3,-0.181397938,-0.406412505,1,0,0,1.0184,submitButton,7.481481481,0.212593916,-0.159156577,0,0,0,0,23,23,30,1,46,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,23.33333333,67,20,75,227.3333333,19.66666667,19.66666667,0.198729097,-0.292027753,1,0,0,1.8973,submitButton,8.7,0.024263465,-0.329000673,0,0,0,0,24,24,51,1,67,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-41.11111111,-50,20,75,-224.1111111,5.888888889,5.888888889,-0.204506039,-0.391392356,1,0,0,3.1209,submitButton,8.444444444,0.100519967,-0.307047973,0,0,0,0,25,25,34,1,50,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-29.44444444,58,20,75,54.55555556,3.444444444,3.444444444,-0.249566699,-0.420277324,1,0,0,0.5054,submitButton,8.027777778,-0.247255896,-0.431831339,0,0,0,0,26,26,42,1,58,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-61.11111111,-45,20,75,-140.1111111,84.88888889,84.88888889,0.410167578,-0.297804831,1,0,0,4.3587,submitButton,13.94017094,-0.144425159,-0.383304475,0,0,0,0,27,27,29,1,45,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-56.11111111,-73,20,75,-237.1111111,15.88888889,15.88888889,-0.179087205,-0.386770679,1,0,0,2.1527,submitButton,14.07936508,0.043905362,-0.304737241,0,0,0,0,28,28,57,1,73,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,72.77777778,41,20,75,220.7777778,0.222222222,0.222222222,-0.238012683,-0.408723379,1,0,0,1.6022,submitButton,13.15555556,0.421721594,-0.386770679,1,0,0,0,29,29,25,1,41,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,continueButton,,,,,,
,,,,,,,,,,,,,,,,,-49.44444444,-29,20,75,-46.44444444,17.44444444,17.44444444,0.2010399,-0.308203445,1,0,0,0.2653,submitButton,13.42361111,-0.180242607,-0.413344915,0,0,0,0,30,30,13,1,29,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,61.66666667,-44,20,75,-38.33333333,5.666666667,5.666666667,-0.121317128,-0.398324765,1,0,0,0.7839,submitButton,12.96732026,-0.125938664,-0.400635498,0,0,0,0,31,31,28,1,44,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,34.44444444,62,20,75,220.4444444,21.55555556,21.55555556,-0.214904653,-0.394858561,1,0,0,1.8684,submitButton,13.44444444,-0.214904653,-0.398324765,0,0,0,0,32,32,46,1,62,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-47.77777778,-25,20,75,-32.77777778,7.777777778,7.777777778,0.205661507,-0.304737241,1,0,0,0.4156,submitButton,13.14619883,-0.165222387,-0.407567907,0,0,0,0,33,33,9,1,25,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-27.22222222,-40,20,75,-35.22222222,4.777777778,4.777777778,-0.168688591,-0.384459947,1,0,0,0.6673,submitButton,12.72777778,0.01964193,-0.377527537,0,0,0,0,34,34,24,1,40,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,61.66666667,-66,20,75,-39.33333333,26.66666667,26.66666667,0.403235169,-0.320912792,1,0,0,0.1017,submitButton,13.39153439,-0.027729604,-0.331311405,0,0,0,0,35,35,50,1,66,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-51.11111111,35,20,75,43.88888889,8.888888889,8.888888889,-0.147891364,-0.397169293,1,0,0,0.9175,submitButton,13.18686869,0.079722739,-0.307047973,0,0,0,0,36,36,19,1,35,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-62.77777778,61,20,75,49.22222222,11.77777778,11.77777778,-0.224147865,-0.42489893,1,0,0,0.7508,submitButton,13.12560386,0.124783399,-0.271230526,0,0,0,0,37,37,45,1,61,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-53.33333333,47,20,75,51.66666667,4.666666667,4.666666667,-0.146735892,-0.380993742,1,0,0,0.5835,submitButton,12.77314815,0.094742959,-0.282784541,0,0,0,0,38,38,31,1,47,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,66.66666667,-68,20,75,-50.33333333,17.66666667,17.66666667,-0.165222387,-0.389081482,1,0,0,0.8521,submitButton,12.96888889,0.095898361,-0.24465629,0,0,0,0,39,39,52,1,68,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,53.88888889,-65,20,75,-61.11111111,3.888888889,3.888888889,0.398613563,-0.293183155,1,0,0,0.2671,submitButton,12.61965812,0.115540187,-0.294338627,0,0,0,0,40,40,49,1,65,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,20,-23,20,75,-40,17,17,-0.120161727,-0.394858561,1,0,0,0.6672,submitButton,12.781893,0.090121353,-0.283940013,0,0,0,0,41,41,7,1,23,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-62.77777778,18,20,75,29.22222222,11.22222222,11.22222222,-0.189485819,-0.392547687,1,0,0,0.8628,submitButton,12.72619048,-0.189485819,-0.394858561,0,0,0,0,42,42,2,1,18,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-60,39,20,75,39,0,0,-0.139803482,-0.398324765,1,0,0,1.0679,submitButton,12.28735632,-0.139803482,-0.398324765,0,0,0,0,43,43,23,1,39,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-60,-30,20,75,-232,22,22,0.395147359,-0.318602059,1,0,0,0.7405,submitButton,12.61111111,0.434431011,-0.405257174,1,0,0,0,44,44,14,1,30,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,continueButton,,,,,,
,,,,,,,,,,,,,,,,,-30.55555556,52,20,75,45.44444444,6.555555556,6.555555556,-0.175621,-0.423743528,1,0,0,0.8361,submitButton,12.41577061,0.214904719,-0.245811762,0,0,0,0,45,45,36,1,52,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,67.22222222,28,20,75,208.2222222,0.222222222,0.222222222,-0.165222387,-0.398324765,1,0,0,2.1355,submitButton,12.03472222,-0.167533119,-0.397169293,0,0,0,0,46,46,12,1,28,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
,,,,,,,,,,,,,,,,,-23.33333333,-42,20,75,-219.3333333,2.666666667,2.666666667,-0.184864142,-0.398324765,1,0,0,3.1699,submitButton,11.75084175,0.038128284,-0.348642429,0,0,0,0,47,47,26,1,42,66943,N,180,2022-02-20_17h07.16.100,orientation adjustment blockN,2021.2.3,Win32,60.24822268,,,,,,,
