accuracy,accuracy,accuracy,accuracy,accuracy,,,,,,,,,,average,logA,trial
10.88888889,9.444444444,12.33333333,5.666666667,3.111111111,,,,,,,,,,8.288888888,0.918496318,137
6.555555556,3.444444444,11.77777778,3.222222222,2.555555556,,,,,,,,,,5.511111112,0.741239167,138
0,3.444444444,5,12.33333333,2.888888889,,,,,,,,,,4.733333333,0.67516709,139
3.666666667,7.555555556,9.666666667,3.111111111,2.222222222,,,,,,,,,,5.244444445,0.719699489,140
12.55555556,7.888888889,13.11111111,1.888888889,8.555555556,,,,,,,,,,8.800000001,0.944482672,141
65.33333333,17.11111111,2.555555556,2.555555556,10.22222222,,,,,,,,,,19.55555555,1.291270158,142
3.222222222,1.555555556,1.555555556,5.777777778,1.444444444,,,,,,,,,,2.711111111,0.433147317,143
10,1.111111111,10.22222222,8.555555556,1.333333333,,,,,,,,,,6.244444444,0.795493806,144
0.222222222,4.777777778,6.222222222,4.333333333,0.111111111,,,,,,,,,,3.133333333,0.496006599,145
4.555555556,1.444444444,14.55555556,2,13.66666667,,,,,,,,,,7.244444446,0.860005086,146
15.77777778,9.333333333,24.22222222,5.222222222,4.666666667,,,,,,,,,,11.84444444,1.073514695,147
8.222222222,10.33333333,12.66666667,10.55555556,2.222222222,,,,,,,,,,8.800000001,0.944482672,148
4,4,2,13.22222222,0.555555556,,,,,,,,,,4.755555555,0.67720126,149
10.77777778,2.444444444,10.44444444,0.555555556,7.555555556,,,,,,,,,,6.355555555,0.803153519,150
19.77777778,4.555555556,14.11111111,28.22222222,11.55555556,,,,,,,,,,15.64444445,1.194360145,151
8.666666667,5.222222222,15.22222222,8.888888889,3.333333333,,,,,,,,,,8.266666666,0.917330426,152
0.333333333,23.33333333,11.44444444,14.11111111,4.333333333,,,,,,,,,,10.71111111,1.029834524,153
3.333333333,1.111111111,0.222222222,0.666666667,3.333333333,,,,,,,,,,1.733333333,0.238882089,154
3.888888889,13.22222222,9.444444444,16.33333333,6.666666667,,,,,,,,,,9.91111111,0.996122345,155
12.77777778,1.555555556,6.333333333,1.555555556,4.222222222,,,,,,,,,,5.288888889,0.723364443,156
5.555555556,11.22222222,5,3.222222222,8.222222222,,,,,,,,,,6.644444444,0.822458675,157
17.55555556,0.111111111,6,11.22222222,3.555555556,,,,,,,,,,7.688888889,0.885863585,158
7.333333333,10.66666667,10,2.666666667,1.222222222,,,,,,,,,,6.377777778,0.804669383,159
11.33333333,44.44444444,2,7.111111111,2.888888889,,,,,,,,,,13.55555555,1.132117321,160
2,7.888888889,1.222222222,13.66666667,5.222222222,,,,,,,,,,6.000000001,0.77815125,161
8.888888889,10.44444444,2,7.777777778,11,,,,,,,,,,8.022222221,0.904294688,162
10,0.444444444,7,1.666666667,1.555555556,,,,,,,,,,4.133333333,0.61630043,163
3,1.222222222,28.55555556,2.111111111,8.444444444,,,,,,,,,,8.666666667,0.937852093,164
6.777777778,4,2.222222222,34.88888889,6.555555556,,,,,,,,,,10.88888889,1.036983566,165
8.444444444,5.444444444,24.44444444,3.666666667,0.666666667,,,,,,,,,,8.533333332,0.931118711,166
7.777777778,3.333333333,2.777777778,4.333333333,2.222222222,,,,,,,,,,4.088888889,0.611605309,167
9,0.888888889,0.333333333,8,6.111111111,,,,,,,,,,4.866666667,0.687231601,168
4.555555556,1.888888889,2.111111111,4.111111111,9.333333333,,,,,,,,,,4.4,0.643452676,169
3.333333333,16.33333333,3.111111111,23.77777778,2.333333333,,,,,,,,,,9.777777777,0.990240163,170
4.333333333,14.11111111,9.333333333,1.444444444,5.222222222,,,,,,,,,,6.888888888,0.83814918,171
9.888888889,1.222222222,0.111111111,2.222222222,8.333333333,,,,,,,,,,4.355555555,0.639043558,172
1.777777778,7.222222222,10.22222222,6.888888889,7.333333333,,,,,,,,,,6.688888888,0.825353982,173
7.555555556,6,5,8,7.777777778,,,,,,,,,,6.866666667,0.836745966,174
0.555555556,21.66666667,6.444444444,6.222222222,4.888888889,,,,,,,,,,7.955555556,0.900670513,175
2.777777778,1,5.666666667,4,15.44444444,,,,,,,,,,5.777777777,0.761760834,176
1.111111111,4.444444444,4.666666667,19,3.111111111,,,,,,,,,,6.466666667,0.810680475,177
2.555555556,0.555555556,6.666666667,4.444444444,12.22222222,,,,,,,,,,5.288888889,0.723364443,178
2.444444444,1,16.66666667,2.555555556,10.44444444,,,,,,,,,,6.622222222,0.82100375,179
3.888888889,9.888888889,0.777777778,15.55555556,4.888888889,,,,,,,,,,7.000000001,0.84509804,180
