"","distance_ 67042","distance_ 67243","distance_ 67708","distance_ 68851","distance_ 68926","distance_ 69016","distance_ 69100","distance_ 69139","distance_ 69169","distance_ 69241","distance_ 69247","distance_ 69637","distance_ 69670","distance_ 69739","distance_ 69745","distance_ 69859","distance_ 70552"
"12",75,37.22222222,57.22222222,47.77777778,35.55555556,25.55555556,74.44444444,48.88888889,20.55555556,30,66.66666667,56.11111111,26.66666667,72.22222222,61.11111111,38.88888889,58.88888889
"13",47.77777778,25,47.22222222,61.11111111,58.33333333,25.55555556,73.33333333,34.44444444,20,37.22222222,20.55555556,51.11111111,34.44444444,32.22222222,71.11111111,67.77777778,25
"14",32.22222222,34.44444444,61.11111111,60,40,43.88888889,70.55555556,29.44444444,55.55555556,56.66666667,71.11111111,52.77777778,61.66666667,42.22222222,23.33333333,61.11111111,40.55555556
"15",35.55555556,41.11111111,37.77777778,43.33333333,22.77777778,35,27.77777778,65,56.11111111,64.44444444,30.55555556,62.77777778,55.55555556,50.55555556,53.88888889,33.33333333,70
"16",56.66666667,57.77777778,51.66666667,73.33333333,26.11111111,61.11111111,47.77777778,63.88888889,27.22222222,61.66666667,43.33333333,47.77777778,72.22222222,32.22222222,75,51.11111111,58.88888889
"17",25,47.77777778,75,62.22222222,23.88888889,63.88888889,41.66666667,39.44444444,70,27.22222222,65.55555556,55.55555556,60.55555556,59.44444444,64.44444444,32.22222222,66.66666667
"18",30.55555556,51.66666667,65,30,62.77777778,67.22222222,31.11111111,38.88888889,38.88888889,45.55555556,60,55,56.66666667,22.22222222,42.77777778,46.66666667,46.11111111
"19",28.33333333,35.55555556,25.55555556,70.55555556,27.77777778,30,48.88888889,33.33333333,53.33333333,22.77777778,35,40.55555556,52.77777778,38.33333333,26.66666667,22.77777778,58.33333333
"20",35,73.88888889,20,64.44444444,42.22222222,52.77777778,46.66666667,21.11111111,21.11111111,37.22222222,64.44444444,40.55555556,37.77777778,68.33333333,55,25.55555556,26.66666667
"21",20,58.33333333,58.33333333,51.11111111,46.11111111,49.44444444,55,54.44444444,50.55555556,73.88888889,59.44444444,60.55555556,71.11111111,26.66666667,36.11111111,69.44444444,30
"22",23.33333333,61.11111111,49.44444444,60,57.77777778,67.22222222,70,42.77777778,39.44444444,67.77777778,51.11111111,27.77777778,47.22222222,22.77777778,29.44444444,61.66666667,72.77777778
"23",66.11111111,24.44444444,23.33333333,74.44444444,49.44444444,26.11111111,62.22222222,38.33333333,23.88888889,55,41.66666667,32.77777778,46.11111111,32.22222222,38.33333333,32.77777778,36.66666667
"24",27.77777778,26.11111111,31.66666667,55.55555556,23.33333333,35,24.44444444,65.55555556,41.66666667,69.44444444,36.11111111,28.88888889,52.77777778,42.77777778,72.77777778,42.22222222,33.88888889
"25",45,51.66666667,38.88888889,39.44444444,23.88888889,57.77777778,21.11111111,33.88888889,53.33333333,24.44444444,72.77777778,67.22222222,20.55555556,51.11111111,31.66666667,40,45
"26",26.66666667,41.11111111,64.44444444,72.77777778,37.77777778,47.77777778,72.77777778,35,74.44444444,45,30,39.44444444,60,50,27.77777778,26.66666667,70.55555556
"27",28.33333333,67.77777778,25,54.44444444,31.11111111,36.11111111,50.55555556,40,46.66666667,36.11111111,48.88888889,69.44444444,66.66666667,55,20.55555556,61.11111111,39.44444444
"28",55,26.11111111,41.11111111,70.55555556,57.22222222,48.33333333,52.22222222,51.66666667,40.55555556,57.22222222,31.11111111,40,46.66666667,34.44444444,42.22222222,26.11111111,31.66666667
"29",36.66666667,74.44444444,73.33333333,53.88888889,21.66666667,46.66666667,28.33333333,41.11111111,57.77777778,66.11111111,52.22222222,41.11111111,23.33333333,26.11111111,27.77777778,46.66666667,52.22222222
"30",57.22222222,37.22222222,27.22222222,27.22222222,63.88888889,38.88888889,75,62.77777778,56.11111111,30,25,32.77777778,23.33333333,38.88888889,57.22222222,39.44444444,22.77777778
"31",46.11111111,27.77777778,60,30,58.33333333,22.77777778,50,24.44444444,66.11111111,53.88888889,66.11111111,20,46.66666667,73.33333333,30,65,25
"32",33.88888889,42.77777778,66.11111111,52.22222222,27.77777778,28.88888889,49.44444444,20.55555556,41.11111111,73.88888889,74.44444444,39.44444444,29.44444444,25.55555556,55.55555556,45,71.11111111
"33",43.33333333,36.11111111,36.11111111,64.44444444,69.44444444,20,62.22222222,62.22222222,57.77777778,51.66666667,47.22222222,72.77777778,45,30,30.55555556,25,23.33333333
"34",30,72.77777778,51.11111111,30.55555556,25,68.88888889,73.33333333,65.55555556,57.22222222,49.44444444,25,49.44444444,28.88888889,67.22222222,71.66666667,21.11111111,57.77777778
"35",68.88888889,35,65.55555556,37.22222222,72.22222222,45,66.11111111,57.77777778,21.11111111,39.44444444,31.11111111,68.88888889,62.77777778,33.88888889,58.33333333,56.11111111,28.88888889
"36",52.22222222,68.33333333,27.22222222,61.66666667,25.55555556,21.66666667,32.77777778,71.11111111,46.66666667,73.88888889,66.11111111,47.22222222,64.44444444,70.55555556,55,38.88888889,70.55555556
"37",27.77777778,70.55555556,60,47.22222222,53.33333333,21.66666667,34.44444444,56.11111111,73.88888889,46.11111111,26.66666667,22.77777778,61.11111111,75,56.11111111,51.66666667,47.22222222
"38",63.33333333,72.77777778,28.88888889,66.66666667,61.11111111,70.55555556,59.44444444,60.55555556,32.77777778,54.44444444,46.11111111,51.11111111,42.22222222,46.11111111,63.88888889,23.33333333,61.66666667
"39",39.44444444,63.33333333,26.11111111,56.11111111,46.66666667,68.33333333,55,20.55555556,43.33333333,46.11111111,57.22222222,73.33333333,66.66666667,27.22222222,52.77777778,45,31.66666667
"40",27.22222222,66.66666667,67.77777778,41.11111111,29.44444444,75,59.44444444,23.88888889,33.33333333,46.11111111,62.77777778,63.88888889,45.55555556,75,35,22.22222222,52.22222222
"41",54.44444444,32.22222222,69.44444444,72.77777778,55.55555556,46.66666667,30,54.44444444,61.66666667,29.44444444,40.55555556,47.22222222,34.44444444,61.11111111,72.77777778,32.77777778,32.22222222
"42",30,44.44444444,35.55555556,43.33333333,65,22.22222222,75,26.66666667,41.11111111,72.22222222,59.44444444,61.66666667,41.66666667,28.33333333,33.33333333,65,45.55555556
"43",35.55555556,63.33333333,75,61.11111111,22.22222222,33.33333333,67.77777778,31.66666667,32.22222222,62.22222222,54.44444444,37.22222222,23.33333333,62.22222222,61.66666667,54.44444444,62.77777778
"44",57.77777778,32.77777778,25,75,22.77777778,30.55555556,24.44444444,60.55555556,64.44444444,41.11111111,33.33333333,38.33333333,69.44444444,64.44444444,45,63.88888889,60
