"","distance_ 67045","distance_ 67051","distance_ 67174","distance_ 67258","distance_ 67507","distance_ 67609","distance_ 67630","distance_ 69202","distance_ 69484","distance_ 69571","distance_ 69661","distance_ 69679","distance_ 69712","distance_ 70516"
"12",37.22222222,60,38.88888889,57.77777778,61.11111111,38.33333333,72.22222222,26.11111111,74.44444444,75,41.11111111,27.22222222,23.33333333,63.88888889
"13",62.77777778,64.44444444,71.11111111,42.77777778,50.55555556,38.88888889,59.44444444,38.33333333,26.11111111,26.66666667,43.33333333,39.44444444,50.55555556,60
"14",26.66666667,60,65.55555556,53.88888889,55,66.66666667,34.44444444,21.11111111,29.44444444,64.44444444,73.33333333,51.66666667,68.88888889,53.33333333
"15",42.77777778,28.88888889,70,56.66666667,67.22222222,46.66666667,31.66666667,58.33333333,74.44444444,52.77777778,60.55555556,57.77777778,44.44444444,24.44444444
"16",61.11111111,57.22222222,37.77777778,41.66666667,23.33333333,58.88888889,64.44444444,55,59.44444444,34.44444444,33.33333333,38.33333333,72.22222222,22.77777778
"17",40.55555556,22.22222222,38.88888889,75,61.11111111,55.55555556,60,43.33333333,60.55555556,56.11111111,25.55555556,57.22222222,65,75
"18",61.66666667,71.66666667,57.22222222,55.55555556,24.44444444,27.22222222,43.33333333,27.77777778,43.88888889,33.88888889,39.44444444,53.33333333,37.22222222,61.66666667
"19",44.44444444,53.88888889,40.55555556,20,55.55555556,23.88888889,37.22222222,26.11111111,70,44.44444444,75,43.88888889,61.66666667,70
"20",73.88888889,23.33333333,26.66666667,21.66666667,61.11111111,21.11111111,59.44444444,60.55555556,29.44444444,24.44444444,42.77777778,43.88888889,48.33333333,20.55555556
"21",46.11111111,31.66666667,38.33333333,52.22222222,60,70,28.33333333,37.77777778,71.66666667,25,25,52.22222222,34.44444444,72.77777778
"22",70,20,44.44444444,63.88888889,52.22222222,60,70,45.55555556,40,44.44444444,60.55555556,56.11111111,31.11111111,34.44444444
"23",60.55555556,51.11111111,36.11111111,51.66666667,29.44444444,57.77777778,35,28.33333333,48.88888889,24.44444444,30,23.88888889,67.22222222,57.77777778
"24",47.22222222,65.55555556,67.22222222,54.44444444,58.33333333,67.22222222,21.11111111,43.33333333,51.66666667,27.22222222,20.55555556,68.33333333,31.11111111,32.77777778
"25",48.33333333,39.44444444,22.77777778,45,38.33333333,39.44444444,50.55555556,58.33333333,68.88888889,67.22222222,28.33333333,49.44444444,47.77777778,47.22222222
"26",65.55555556,44.44444444,33.88888889,54.44444444,66.66666667,38.88888889,49.44444444,27.22222222,68.33333333,71.11111111,70.55555556,26.66666667,52.22222222,55.55555556
"27",40,22.22222222,21.11111111,74.44444444,53.33333333,47.77777778,20.55555556,22.77777778,56.11111111,56.11111111,44.44444444,74.44444444,65.55555556,23.33333333
"28",43.88888889,72.22222222,71.11111111,75,62.77777778,45,67.22222222,31.11111111,34.44444444,37.22222222,46.11111111,68.88888889,51.66666667,67.22222222
"29",58.88888889,22.22222222,42.22222222,33.33333333,63.33333333,37.22222222,41.11111111,32.77777778,20.55555556,61.66666667,36.11111111,40,72.77777778,56.11111111
"30",63.33333333,57.77777778,70.55555556,45.55555556,60.55555556,53.33333333,32.77777778,75,31.66666667,73.88888889,25,67.77777778,53.88888889,29.44444444
